"Btilde_forecast","Btilde_age0_forecast","Btilde_age1_forecast","Btilde_age2_forecast","Btilde_age3_forecast","Btilde_age4_forecast","Btilde_age5_forecast","Btilde_age6_forecast","Btilde_age7_forecast","Btilde_age8_forecast","Btilde_age9_forecast","logmdm_c","mdm_forecast","N_a_forecast_age0","N_a_forecast_age1","N_a_forecast_age2","N_a_forecast_age3","N_a_forecast_age4","N_a_forecast_age5","N_a_forecast_age6","N_a_forecast_age7","N_a_forecast_age8","N_a_forecast_age9","mat_age3","mat_age4","survival_forecast_age0","survival_forecast_age1","survival_forecast_age2","survival_forecast_age3","survival_forecast_age4","survival_forecast_age5","survival_forecast_age6","survival_forecast_age7","survival_forecast_age8","survival_forecast_age9","mean_log_rec","Ntilde_agecomp_forecast_age0","Ntilde_agecomp_forecast_age1","Ntilde_agecomp_forecast_age2","Ntilde_agecomp_forecast_age3","Ntilde_agecomp_forecast_age4","Ntilde_agecomp_forecast_age5","Ntilde_agecomp_forecast_age6","Ntilde_agecomp_forecast_age7","Ntilde_agecomp_forecast_age8","Ntilde_agecomp_forecast_age9","Btilde_agecomp_forecast_age0","Btilde_agecomp_forecast_age1","Btilde_agecomp_forecast_age2","Btilde_agecomp_forecast_age3","Btilde_agecomp_forecast_age4","Btilde_agecomp_forecast_age5","Btilde_agecomp_forecast_age6","Btilde_agecomp_forecast_age7","Btilde_agecomp_forecast_age8","Btilde_agecomp_forecast_age9"
13003.1679004959,0,0,0,870.94011110666,698.907150078956,3785.50973208093,2061.56242579774,1048.08139583374,1070.97680079995,3467.19028479797,5.6091336368324,27.706926514176,0,0,0,23.114760583232,8.83535326802622,36.9560583151343,17.4313290993524,8.03768284271675,7.4270508816707,22.7076966274009,0.611092810735364,0.922233711909229,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.626331380516964,3.14047139975003,0,0,0,0.114536503289904,0.0716425878926963,0.324931635456284,0.153262835125189,0.0706703460929794,0.0653014390501166,0.19965465309283,0,0,0,0.066979071390245,0.0537489906634444,0.291122114322353,0.158543090543276,0.0806020043618573,0.0823627602900598,0.266641968428765
13392.4390343403,0,0,0,855.101416283497,470.611478430126,4012.58510249448,2469.63166579599,660.569737891973,964.047908590112,3959.89172485414,5.66550197318463,26.9723261874098,0,0,0,22.6896367382677,6.4683584774446,39.172882791853,20.8817165960975,5.06587567509355,6.68551631008153,25.9345500475129,0.664546682117776,0.848230460085917,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.595897611083196,3.12190828889135,0,0,0,0.110241451390281,0.0472918132550735,0.337647512489776,0.179988276651806,0.0436649079253759,0.0576252701084928,0.223540768179194,0,0,0,0.0638495657206938,0.0351400874197302,0.29961570795324,0.184404921274121,0.0493240802663479,0.071984491108613,0.295681146257254
13701.4632201845,0,0,0,851.613224609356,307.415881575117,3598.36455250916,2351.97461886965,894.032636417585,1459.81952244988,4238.24278375377,5.76070639689769,25.0887439068595,0,0,0,22.4925748001384,3.6719326518236,35.1290525327852,19.8868795345725,6.85629075292011,10.1236122605019,27.7575568288603,0.580196997106768,0.976061138720905,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.640921293888939,3.11318524586272,0,0,0,0.109736839684097,0.030876815710289,0.30264061670159,0.171327634896963,0.0590676921847695,0.0872160231166694,0.239134377705622,0,0,0,0.0621549108240344,0.0224367191032738,0.262626297256206,0.171658645582087,0.0652508875913726,0.106544790070255,0.309327749572771
14173.8467552714,0,0,0,951.895837196529,577.320170224964,4007.97903382927,2494.11543507292,1132.35410585856,925.56264669402,4084.61952639514,5.60059470987527,30.4603805181652,0,0,0,25.3052395951537,7.17885222269564,39.1279160227142,21.0887365895346,8.68396596363496,6.41862724387281,26.7514308200549,0.600096512124305,0.937577435060408,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.591284429696969,3.23101147291419,0,0,0,0.115716600206595,0.0547040049378398,0.318012126152812,0.171398700529344,0.0705789308567076,0.0521673910673244,0.217422246249377,0,0,0,0.0671586093480593,0.0407313681453662,0.282772849391691,0.175966022360538,0.0798903872329099,0.0653007375255976,0.288180025995839
14514.6237627431,0,0,0,884.679974953152,701.838365904106,4169.44898288485,3252.07246862147,367.735859683851,1158.35608051201,3980.49203018368,5.8435438594585,24.4648129256743,0,0,0,23.9767079915401,9.16549914944359,40.7042672345124,27.4975643454252,2.82014757802406,8.03301205276285,26.0694677893818,0.618186483867985,0.892742915931275,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.589215756253653,3.17708285875506,0,0,0,0.104570791742768,0.0646632395169086,0.321673189308974,0.217304715750341,0.0222867509324872,0.0634824007979862,0.206018911950534,0,0,0,0.0609509408865281,0.0483538793272493,0.287258495365702,0.224054892622781,0.0253355419813068,0.0798061389290257,0.274240110887408
14920.7764116058,0,0,0,1015.65020904798,1637.0393590131,3902.73926634993,1844.97751322966,1380.84829399461,1412.91812557036,3726.60364440012,5.75886219083442,27.3718606443081,0,0,0,25.1753497506859,19.3894960479324,38.1005122490355,15.6000176427189,10.5896552358953,9.7983586595038,24.4066745856539,0.613027413743459,0.984323896549143,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.620364547123471,3.22586533128611,0,0,0,0.114416038566799,0.143746745169854,0.286961929847706,0.117494776425905,0.0797581902062568,0.0737983755150792,0.183823944268401,0,0,0,0.0680695280882286,0.10971542725751,0.261564087463591,0.123651575650889,0.0925453378498826,0.0946946785203051,0.249759365169595
15066.1748858442,0,0,0,996.540154600651,1295.63328947287,4503.84871628278,2092.52852102413,1167.90883120399,975.114489663758,4034.600883596,5.67171832156643,30.1551854492897,0,0,0,27.5606262552825,15.5550132588258,43.9688463592968,17.6931597332728,8.95663334140016,6.76226125979352,26.4238433290027,0.556926463648258,0.971084766553951,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.685924775080121,3.31638816922845,0,0,0,0.111387894689329,0.11288115501982,0.328578383296329,0.132220658532999,0.0669327568671358,0.050534254504054,0.197464897090333,0,0,0,0.0661442046273455,0.0859961668631777,0.298937769567144,0.138889169738115,0.0775186030995383,0.0647221008021055,0.267791985302574
15292.4501786798,0,0,0,938.794724830263,1228.965284011,3831.57454836793,2393.72615889162,1277.12879740143,801.505315797863,4820.75534937974,5.60743797244885,32.6401897268812,0,0,0,26.9041818277673,15.4590032937989,37.405766322104,20.2399053878867,9.79423569926755,5.55830972054102,31.5726109606973,0.563114320588114,0.926837408606747,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.650215300518229,3.29228173280672,0,0,0,0.105623985168633,0.107777393790169,0.281372202412828,0.152247830095962,0.0736738193230057,0.0418105014690497,0.237494267740352,0,0,0,0.0613894250993928,0.0803641842642311,0.250553345186618,0.156529930189268,0.0835136804422585,0.0524118310952741,0.315237603722957
15352.6066274108,0,0,0,1032.22432428635,344.547734788414,3950.06628828221,2678.4683386134,653.469273477485,1305.88880656151,5387.94186140146,5.89979730959477,24.46175858129,0,0,0,24.975416557368,4.14370113775899,38.5625425451376,22.6475136082765,5.01142257514681,9.05612764430761,35.2872900490108,0.637682091220609,0.969407562387807,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.627016319685308,3.21789200336922,0,0,0,0.118743522004838,0.0308945155870029,0.296587076145827,0.174183531472006,0.0385431838980594,0.069651279245519,0.271396891646749,0,0,0,0.067234467041147,0.0224422955104739,0.257289617596903,0.174463425242148,0.0425640602495976,0.085059745113898,0.350946389245832
15384.6636750209,0,0,0,1150.37908260369,1342.30943924473,4043.11068824409,2729.95786694652,542.100824404747,994.454370903925,4582.35140267322,5.80991996697313,26.8180251587608,0,0,0,27.334842310811,16.3587786736368,39.4708889804267,23.0828780203911,4.15734361153746,6.89638020794338,30.0112301157166,0.658000891620448,0.956637049236991,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.882496902584595,0.725699190103097,3.30816216356541,0,0,0,0.126077793435794,0.114669104526786,0.289217958182181,0.169136875871644,0.0304624106993599,0.0505323557211614,0.219903501563073,0,0,0,0.0747744056616256,0.0872498396844485,0.262801369834859,0.177446704368258,0.0352364429834707,0.0646393312138865,0.297851906253452
