"em","Λ = 0","Λ = 0.01_all ages","Λ = 0.01_young ages","Λ = 0.01_new spawners","Λ = 0.15_all ages","Λ = 0.15_young ages","Λ = 0.15_new spawners"
"base",424.38191863791,437.712046609552,245.219718776977,354.103264015554,8027.63998566734,8393.25089667311,6783.4429716228
"mvtweedie",1116.25470892808,865.706703089915,311.338418771847,878.388094934908,10464.2651725083,9868.73341667685,4244.58612440607
"spatialmodel",2168.23857177832,416.25521465104,438.991799339382,1740.95391378769,10251.8812636205,9644.77678543546,5675.66551097369
"weibull",1633.39735120217,492.934663768418,521.036665037538,1371.63023683978,10026.9029854676,8586.39272812855,5567.79354035967
