"em","Λ = 0","Λ = 0.01_all ages","Λ = 0.01_young ages","Λ = 0.01_new spawners","Λ = 0.15_all ages","Λ = 0.15_young ages","Λ = 0.15_new spawners"
"base",0.775,0.696071428571428,0.655,0.774285714285714,0.00142857142857143,0.000714285714285714,0.225357142857143
"mvtweedie",0.765,0.77,0.765,0.641666666666667,0,0,0.361666666666666
"spatialmodel",0.81125,0.66125,0.55625,0.80875,0.009375,0.0425,0.275
"weibull",0,0,0,0,0,0,0
