"Year","iteration","mdm","KI_mdm"
2025,1,59.019516790546,21.1108878212073
2025,2,42.505372852798,38.2133571216519
2025,3,60.8674198315956,15.3787254255436
2025,4,86.3906184826618,22.0702497374595
2025,5,44.9137806114917,16.574487544944
2025,6,43.7338276056877,17.3323119862533
2025,7,42.8376199983369,11.6558809247119
2025,8,62.3583404455683,31.9169355348343
2025,9,73.1715014669252,27.683916978948
2025,10,49.1855676666963,25.7814626911419
2025,11,61.9318785346188,34.2333735547434
2025,12,47.7177934742118,19.1431974227755
2025,13,54.9864400046998,39.6858233153709
2025,14,55.8480294696411,11.6690372829203
2025,15,58.3868291420642,22.4228577666484
2025,16,53.7916284227763,20.1757261837665
2025,17,57.2957843845834,56.219972842889
2025,18,61.7325054150361,18.4412129896917
2025,19,50.966621930717,19.3731725570396
2025,20,50.0778825512188,16.7153146652184
2025,21,41.8034396059645,14.6299327684653
2025,22,60.4874755187343,22.5982535968557
2025,23,45.3672975818638,31.3253321885201
2025,24,63.6124139384782,17.7122765741149
2025,25,48.902516710417,32.821913445266
2025,26,46.7922658867033,30.5461597212068
2025,27,59.4288669121122,13.0272288221828
2025,28,32.9275668079295,20.5625286642451
2025,29,51.9573971035098,21.7298955091757
2025,30,39.4404003912636,49.1318567728276
2025,31,57.2711291292709,14.9423153582206
2025,32,48.3355112889416,15.7076099215776
2025,33,65.3692587428264,43.7760643579197
2025,34,62.3203458782168,12.8137808548379
2025,35,63.6132133468517,17.9508190780523
2025,36,43.6399210699205,16.1245284142876
2025,37,52.0832977184826,25.3166280852792
2025,38,67.9106199697574,19.3588412407806
2025,39,52.6245495168896,25.8896122040245
2025,40,67.4563968541386,20.2956051615628
2025,41,56.7743249369091,11.2197894239316
2025,42,56.4164295508896,58.7911645912213
2025,43,39.6644028839525,18.9999953695833
2025,44,54.534856479977,24.1557116283702
2025,45,43.651913638953,23.1220880661733
2025,46,45.6219851616979,40.5860138172055
2025,47,47.5198538399541,29.038337706734
2025,48,39.6468377805173,12.8561955105466
2025,49,52.2401046291355,14.8172691997552
2025,50,42.218052368129,22.6491795139848
2026,1,50.9926133507719,15.3686297558839
2026,2,37.3333205588373,28.9471356574893
2026,3,46.6485389815076,11.7059916205718
2026,4,78.1909089681211,15.0190007080971
2026,5,37.0047807877177,13.0959855723863
2026,6,39.9329196375413,13.805806643479
2026,7,39.2797484648448,12.1158571953252
2026,8,52.6234494242945,24.1300327825435
2026,9,57.8673935789305,19.8186449934549
2026,10,44.176484135587,19.7058538616986
2026,11,54.2811152840927,25.0874891081918
2026,12,37.8730376822616,16.1362917744247
2026,13,48.4156477426625,38.0536110504976
2026,14,52.7494976196975,8.86270538216398
2026,15,50.9451390617754,19.8639588901525
2026,16,42.5313785596395,16.1620117730873
2026,17,57.7919434087187,76.8230936088521
2026,18,56.0949890236238,17.5917172779393
2026,19,48.2004151778897,16.7351210482518
2026,20,43.6419022436686,11.5609578687431
2026,21,35.964883658118,14.8488216298724
2026,22,53.0595141718467,17.9659586644879
2026,23,40.8133063299594,23.3763168240876
2026,24,51.9818113762048,14.6786226121375
2026,25,42.071296747738,23.7385000666164
2026,26,41.6401900168885,23.8048452998485
2026,27,48.286222824561,10.4165468896342
2026,28,27.9418389642122,16.5062632300076
2026,29,38.4695999669867,17.83236155843
2026,30,51.7496467744555,82.1084431698272
2026,31,45.9434630275429,9.92097323350433
2026,32,47.4212118000092,10.025678503773
2026,33,77.8205949079844,62.9450150879313
2026,34,52.5695715943256,10.3602464286732
2026,35,51.653169750752,11.7106196069589
2026,36,38.2695412480592,12.793484107724
2026,37,44.0858747678733,19.3084192181643
2026,38,59.8996799171047,18.7375353884273
2026,39,44.545454127865,23.1487795106394
2026,40,52.5017793759606,13.2967455904663
2026,41,47.2489043972654,8.06726092026483
2026,42,76.4696184665382,109.556144891621
2026,43,36.6757838984585,20.0641713148212
2026,44,62.65649683444,20.7663408654665
2026,45,36.4105229342112,19.7084083965355
2026,46,51.5630156221015,58.2158087625697
2026,47,39.0055514186122,21.3104731979752
2026,48,33.9341328547023,15.8378487557408
2026,49,43.2146199888672,12.3236766766515
2026,50,31.6523372922749,15.7141370833365
2027,1,54.2578069374406,13.2548448832589
2027,2,44.993196784366,25.6680953333955
2027,3,49.5543888714993,9.97015443560063
2027,4,67.4936431561271,14.3376923789834
2027,5,45.624980833565,10.8298434270868
2027,6,45.1737993035105,11.1323737255001
2027,7,30.4627581825949,12.5702463364495
2027,8,53.8752214941908,17.1679071352913
2027,9,53.9428361394002,14.6032464393353
2027,10,47.0811131594685,14.6999139653479
2027,11,52.9771557087074,22.1282110172749
2027,12,44.4580169945838,16.2902652526134
2027,13,73.5932197474689,37.0940695284015
2027,14,56.0038101952149,7.67912858920279
2027,15,50.0526318143985,15.4753616562859
2027,16,43.0575254048216,13.1751541466913
