"Year","iteration","biomass","recruits","mdm"
1980,1,67536.1130927721,1032.09943793953,92.0401520278455
1980,2,68356.3824190542,1043.16315903934,89.9647956653893
1980,3,68957.6465708719,1060.35781475189,88.8723461534873
1980,4,67999.4807621093,1048.19196384185,86.4262248396952
1980,5,69652.3907642415,1081.17444385562,89.8326550919594
1980,6,71052.2961634033,1073.64031775483,94.2151637106263
1980,7,67329.0190946124,1048.17280506496,86.5538952124261
1980,8,67975.1170213072,1044.98008597585,89.1922654542258
1980,9,68045.6951006191,1057.19657848593,86.8777917884396
1980,10,66640.5508294454,1045.75176646088,90.2782908479789
1980,11,67246.2463060091,1046.59653354974,85.6237380673664
1980,12,68426.0016219207,1053.54433402949,87.5360398777468
1980,13,66099.7298192511,1010.84199273554,91.8252475998557
1980,14,68236.5317760249,1063.81455076574,90.233302529277
1980,15,66832.3067131127,1036.50121641912,87.0668573196528
1980,16,69751.2658308687,1075.34892221366,89.4041217536064
1980,17,69709.1751896326,1066.46562254702,92.2713513389051
1980,18,70687.2314072917,1091.92656143002,90.286380559824
1980,19,66715.4897526336,1025.92425937307,87.4318591803828
1980,20,68655.3972759536,1066.12505533263,88.0842255894016
1980,21,71288.2067447124,1092.55317466672,94.3554771960945
1980,22,67165.0555237317,1048.59629947673,87.809078992301
1980,23,66458.9325016092,1025.62851144988,89.2846753616403
1980,24,72130.8169988602,1111.30481656755,91.0848656271395
1980,25,68124.0290784322,1039.36386104281,90.7572506689917
1980,26,69077.8649445887,1056.75017460658,95.6857731210274
1980,27,66855.8473591998,1014.43368310098,90.4279123347404
1980,28,71106.9955824278,1086.40706158056,92.7068878043371
1980,29,68406.0470979065,1049.478367338,93.1040745153692
1980,30,67905.4799462509,1045.93807360304,91.5141725791759
1980,31,69439.2294927456,1090.06477414194,88.7635359300444
1980,32,67390.2035076423,1039.92324459522,91.5782162383152
1980,33,65911.922519618,1041.16745715496,86.4665828568356
1980,34,67323.0821704926,1033.59744051932,90.4534137526827
1980,35,71090.9821817979,1087.80091256423,94.0518521472426
1980,36,66897.1015045535,1035.77160346821,87.2438193543743
1980,37,69335.0386846521,1074.09377444477,87.1722987654126
1980,38,71201.038409893,1097.02901081036,93.2107577036325
1980,39,68547.8860870556,1064.81146092926,91.3890480698545
1980,40,69177.3522862482,1067.90151512876,91.5475035367661
1980,41,67312.0274607815,1050.07922244539,87.7340974590408
1980,42,65821.0746769549,1038.00327903547,87.554272547146
1980,43,68529.2502757523,1054.87667078263,90.7525142973839
1980,44,65566.1995618613,1010.39739113131,92.5070335444452
1980,45,71476.6940254644,1088.11574944866,97.8455476331931
1980,46,70140.198768227,1091.95175052167,89.9953078800259
1980,47,69174.2023392215,1092.62667216605,90.3218970077348
1980,48,69617.5005030454,1057.58195159943,90.8374801156759
1980,49,71938.963860953,1099.77725874114,91.103229863055
1980,50,69685.6892268426,1073.6282168834,93.6439700115473
1981,1,68727.2690091429,821.169987653343,88.5985390362566
1981,2,69614.9518097278,836.333465365554,88.4489620379468
1981,3,70440.910375669,848.762234448277,87.3950685439218
1981,4,68903.1311340964,833.117074171249,85.5623829079773
1981,5,71963.8951761506,862.354519841279,88.8146631147434
1981,6,72007.9795067751,852.594832040351,91.7862660779752
1981,7,68798.9426382086,835.377359204187,86.211009877798
1981,8,69132.0261480986,841.826248777807,84.3592194824701
1981,9,69716.2761598122,844.505521546945,86.042342112181
1981,10,68729.4375419203,837.755671319906,86.978869058941
1981,11,69056.8330893396,831.04656039808,84.1942234666952
1981,12,70098.694536044,845.673647455351,87.1314316185627
1981,13,67120.1185307807,802.000166555917,89.4552463396586
1981,14,70005.9422288692,844.495803433443,86.5021099421633
1981,15,69182.9934585602,832.800496433761,86.7821532810223
1981,16,71769.0158960892,855.778233934358,89.798272970918
1981,17,71036.9296901283,847.805082804422,86.9056004223439
1981,18,72460.8588600393,870.822114930968,90.0299058992262
1981,19,67584.6457910214,818.240253660658,83.6583842080662
1981,20,70442.3042768139,851.388680151269,88.4958379508563
1981,21,72846.9945516205,869.357255049159,93.8347916657382
1981,22,68535.7724184102,829.712895305899,82.9340754172358
1981,23,67587.7816797851,816.028767734096,85.2582074842629
1981,24,74352.4542845349,885.010325854527,90.1108465463433
1981,25,69495.7449260116,830.204260000644,90.0067893525849
1981,26,70206.5372834935,838.193685678549,91.8458391428098
1981,27,67966.3141933649,807.5862875338,86.4286125536786
1981,28,72478.0880544179,863.680619940542,91.1020884569713
1981,29,69371.5695829252,831.499787928184,86.9257857143733
1981,30,69389.4462182611,836.086827163238,86.609344900542
1981,31,71850.7656933706,862.164443092438,86.6260462741588
1981,32,68903.1464727068,828.485475584697,89.4627820474677
1981,33,67885.2815440041,828.47056495731,84.8954059462303
1981,34,68593.3229438479,823.638636904756,87.4409251560483
1981,35,72433.3786001539,864.612607211361,91.8781724621994
1981,36,68666.5071134175,828.893927584168,86.1481117782102
1981,37,71081.9475499874,851.774504873044,85.0735864442206
1981,38,72732.0316595964,873.330173406518,89.8841503670011
1981,39,70447.4729593027,848.370553358781,90.1147320961436
1981,40,70899.731657795,848.360217345573,87.6306841431079
1981,41,68929.1436259843,842.116161966139,86.3533998784777
1981,42,67941.8206048617,830.307105940853,84.2899189202876
1981,43,69957.0428534398,840.741560444101,87.9579147090335
1981,44,67326.8465103288,809.351004082149,88.2860442733688
1981,45,72744.4367585237,860.833799289762,93.2595301917532
1981,46,72180.3299027774,873.220554726823,91.3013923655441
1981,47,71303.9300686781,860.213159527356,89.7439058543967
1981,48,70880.5966858044,845.704904582463,87.9558671188775
