31969.6,73013.5,65432.6,16152.4,23695.2,204422,22255.9,5007.46,4481.9,91593.2,3347.41,6727.61,2095.16,9153.31,5375.96,13321,10253.9,859.036,4400.7,782.572,30226.3,7630.53,2989.69,3752.4,2982.86,13890.8,12363.8,6342.73,5870.68,1241.89,4512.99,981.11,841.395,1911.33,2533.65,5035.11,4281.76,43152.3,2591.33,11685.2,9063.73,29412.5
17414.1,60787.5,47714,16043.1,17117.3,165798,15798.8,2215.24,3233.46,80197.6,3458.03,5702.66,1642.9,8410.98,5247.85,10454.1,9498.78,646.578,4629.44,1406.12,31722.7,7206.36,4145.52,3701.98,2174.06,14687.9,11134.7,5638.43,6277.5,2353.1,5572.1,1831.28,291.779,992.051,1523.72,4642.95,1610.59,20201.8,3048.65,3681.66,2556.42,28918.3
24101.9,71136,51275.6,16733.3,18361.9,177703,19432.7,3996.76,4943.01,91661.5,4719.19,11689.2,1610.8,8222.6,4569.32,11936.9,9633.95,1288.05,5075.49,1228.81,35463,10036.3,4357.8,5628.41,4128.33,14992.4,11678.2,6447.76,6764.81,1681.54,4292.71,2552.36,349.317,1484.91,1630.32,4634.47,1994.69,37136.2,4076.79,3886.29,3339.74,5023.37
25288.1,72385.6,64309.9,14629.1,21544.8,195257,18344.4,2982.68,4024,91214.4,3922.76,5047.31,1359.95,9242.78,6534.52,10429.2,8813.6,582.355,4436.68,1216.23,27176.3,6532.97,4809.78,4536.88,3092.93,15445.6,12593.5,3857.95,5991.57,2374.39,6232.91,1463.11,1050.98,2354.06,1951.66,4311.8,1640.13,23389.2,4080.66,5228.57,783.248,13754.3
19789.4,68228.4,47384.9,14420.4,16563.7,147410,15633.9,3692.86,2603.01,73892.2,4935.05,13597.5,1051.52,8525.68,4654.4,9545.94,8128.27,750.858,4092.58,912.36,29556.6,5650.2,2075.64,4006.83,3823.34,14876.9,16976.6,5516.46,4984.96,821.894,4426.06,1789.68,908.731,2157.25,2386.7,3917.39,2072.21,33760.6,6721.82,4662.68,5581.98,64837.5
24968.9,74722.4,62257.9,13679,22372.7,187829,19656.4,3487.38,5565.02,100740,3092.12,5102.57,1512.45,9967.88,5898.78,12865.4,7140.04,1341.38,3386.82,1165.72,35174.2,6485.34,3139.73,3829.7,2061.3,20137.8,13039.6,5926.61,8946.76,1444.99,6006.78,1594.63,916.198,2535.51,2277.93,4996.79,2043.35,22513.7,2598.6,2422.71,1197.91,7107.6
24555.3,65445.1,48758.4,18438.2,18661.8,190810,23800.5,3096.88,4034.74,101681,3259.17,5316.99,1640.82,10282.3,5199.35,11509.4,10948.2,658.063,5458.21,1203.06,37957.8,5970.89,4953.71,5475.88,6062.71,16447.6,18827.8,7818.8,6474.07,1701.2,5605.97,2471.5,615.785,2336.99,3605.21,6753.08,4066.93,40138.5,11395.2,17839.1,6026.83,16052.2
19074.8,71032.8,59383.6,13209.7,21205,172518,15930.1,3812.33,3811.39,86523.4,3193.99,9892.62,1350.1,8956.44,5972.32,12599.5,8514.69,979.343,3633.81,1110.71,30518,8528.59,2936.71,3957.33,1740.73,19293.5,11765.8,4611.7,7997.44,1845.65,4747.22,1356.22,1068.24,2343.51,1780.92,4371.67,1622.24,23416,2949.05,1399.45,2729.35,7701.84
33151.9,80309.8,59964.7,21923.4,21449.5,204325,27485.9,3550.05,4368.56,110638,10234.2,16493.4,2088.25,11110,6513.91,12535.8,13034.9,633.788,4366.27,2388.75,47523.3,7541.81,5711.67,7058.9,7055.62,19277.7,18189.8,6030.25,6439.68,1890.8,7030.09,2794.86,528.385,2000.53,3600.77,7462.13,4427.98,46458.1,15357.4,9329.55,7447.05,14479.3
28754.5,70546,59463.7,13249.8,22937.3,193861,17261.5,3917.24,3379.04,99391.5,2508.08,7354.8,1700.09,12973.4,6698.58,16842.5,10760.3,1275.89,6282.92,755.035,30785.4,7609.75,3220.89,2982.89,1676.76,18649.6,14789.3,7690.07,9468.6,2356.42,4728.95,1510.6,1090.19,2862.83,2763.42,5314.67,2056.73,30520.1,2691.08,6963.39,1694.05,24531.9
29248.7,86483.7,75714.1,15292.4,23276.8,230046,26080.4,4990.1,6272.52,125460,6788.13,11254.8,1678.89,14646.2,7976.54,16468.4,16727.8,754.354,5627.8,1183.16,49902.6,11419.6,6367.78,7277.51,5623.34,25729,21234.9,13277.4,8847.53,3712.15,7829.41,2474.78,962.512,3114.96,4238.96,7226.07,2859.3,46564.6,4740.31,5082.33,1596.81,27807
33070.7,74537.6,66844.6,16252.1,23333.2,218505,25241.1,4338.88,4612.66,104172,3205.5,7211.67,1892.31,14200.2,6668.52,15866.1,11719.3,1279.67,6406.69,1461.02,50859.3,9883.11,4118.25,6611.41,4327.83,18732.4,13778.8,6282.21,7280.08,3183.26,5597.14,2318.09,778.591,2542.47,3476.42,6144.71,2408.4,43390.4,5905.26,7089.31,2280.24,15676.3
17106.5,47100.5,37356.1,10798,11844.1,129062,15497.5,2863.73,2559.69,60561.4,2289.53,6139.43,1719.62,8915.62,3999.74,9332.23,7771.74,514.991,4326.64,756.52,29192.2,7397.38,2611.82,3104.23,2297.59,12693.9,8577.2,4789.29,5177.8,3183.71,3820,1634.34,768.876,1674.2,1960.02,3585.53,2199.67,26536.5,4087.12,2295.57,5493.4,10959.6
