"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"ADFG_hydro_q",-0.475400001755573,0.00245167929689424,0.212084697370249,-0.894265697583167,-0.615395828935295,-0.468398456298494,-0.333505610593834,-0.0643175887625369,7404,1.0016998612417,1,-0.827290895110859,-0.468398456298494,-0.141028887001272,0.00929949065608993,0.00428728550931501,0.00324169875924429,0.00418678495918501,0.00890905679174825,0.00196997583129617,7466,3590
"ADFG_hydro_add_var",0.312873208620369,0.000778623456181981,0.0635340308564741,0.201708434485366,0.267767107264218,0.308300437078547,0.353778627041555,0.447532083108608,6527,1.00236326543046,1,0.215976635523799,0.308300437078547,0.42415761853815,0.00175831010211784,0.00103309499826609,0.000843140569774831,0.00115072992074836,0.00332183034304132,0.000601493797444827,7196,3334
"PWSSC_hydro_q",-0.249880517709506,0.00178168001618841,0.157641544458542,-0.55008231357919,-0.357069156413131,-0.249388726480128,-0.141494686312795,0.0626541511472135,7770,1.00489656325641,1,-0.504725747146012,-0.249388726480128,0.0155274174080453,0.00505338492436236,0.00321564226028359,0.00263603319878269,0.00371154529166606,0.0052406443213231,0.00141873680728636,7851,3497
"PWSSC_hydro_add_var",0.375762185764745,0.000575270728078621,0.0467562878919388,0.290150057363397,0.343423992308032,0.373446288259793,0.405661384782302,0.474747556089074,6586,1.00193098089559,1,0.303054787326027,0.373446288259793,0.457952105030294,0.00202472411990137,0.000956179661852102,0.00061282214878311,0.00111327728605942,0.00193092876208958,0.000432334184570638,7115,2721
"log_juvenile_q",4.44765461707672,0.00555378744047165,0.375398288619938,3.74748521197783,4.19299139545589,4.43095082079165,4.67606362474857,5.22649936122499,4569,1.00102567473336,1,3.86009460440059,4.43095082079165,5.09043014614033,0.0113873668657813,0.00652282551031824,0.00545838002132193,0.00858767697175189,0.0262839615334034,0.00406293852003136,4902,3003
"juvenile_overdispersion",1.58981198417315,0.0127716920649748,0.715227027253243,0.541065361666511,1.06382547384732,1.47002076994904,1.98349014687596,3.35172491234387,3105,1.00119210068155,1,0.635684771878131,1.47002076994904,3.00637693821573,0.0118585945874967,0.0127916925978014,0.0164481589514318,0.0194812977162219,0.0486748568381068,0.00962729216930083,3127,2575
"annual_age0devs[1]",0.736364456414492,0.00133933961522521,0.115419228468204,0.506952323465566,0.659179734289551,0.734163301261122,0.812718053194071,0.966635585361973,7338,1.00107012884155,1,0.55125502444704,0.734163301261122,0.93234566003571,0.00570375003697521,0.00252689736618805,0.00186215597104322,0.00263064033725069,0.00463532251461718,0.000961717179481952,7385,3481
"annual_age0devs[2]",0.511220445622943,0.00151136855407039,0.12031830939904,0.279185698247203,0.42975230614319,0.51079470147607,0.593952827248206,0.748948397077649,6265,1.00070665290445,1,0.316490485615015,0.51079470147607,0.707555214913942,0.00434063599114776,0.00294441761146036,0.00203508647601769,0.00257849240955199,0.00399365013018205,0.00111371385840001,6344,3380
"annual_age0devs[3]",-0.736412853187463,0.00167855977432171,0.151126332602836,-1.03772442310544,-0.837342584160253,-0.737213739812155,-0.633265027362281,-0.443560937220485,8060,0.999755300552055,1,-0.985833299479472,-0.737213739812155,-0.492946354413264,0.00793076202415399,0.00282153742349589,0.00184117198703682,0.00271564856628093,0.00840035499612757,0.00122559453940531,8123,3381
"annual_age0devs[4]",-0.49508539355184,0.00160830631062439,0.140338473852962,-0.763636693505455,-0.591148811751378,-0.496285952111548,-0.400530675339275,-0.215831119875139,7306,1.00077316847641,1,-0.720420013139694,-0.496285952111548,-0.263374454158051,0.0059295068391334,0.00292108091378651,0.00223875259713147,0.00229509350995816,0.00587056453194101,0.00120953205101824,7604,3890
"annual_age0devs[5]",1.72092092580257,0.00166738003699088,0.110722278642816,1.508433179066,1.64471831075467,1.72006164587418,1.79547301747368,1.94256049746453,4364,1.00091384906992,1,1.54050023528886,1.72006164587418,1.90500109377337,0.00648217711830501,0.00284153972614032,0.00189632777978055,0.00254151235608457,0.00573402079249075,0.00118230044282545,4420,3084
"annual_age0devs[6]",-0.516028736539167,0.00199253035818011,0.152811115479517,-0.811702849599248,-0.61902737382756,-0.518839978026501,-0.413348974694294,-0.221650774948365,5744,1.00041221265726,1,-0.766353707476031,-0.518839978026501,-0.261404206451981,0.00753789132519511,0.00277403687565059,0.00220151265478918,0.00356906339494145,0.00738094937668343,0.00144288265130773,5870,3158
"annual_age0devs[7]",-2.22610751156074,0.00242632611198628,0.203050730800299,-2.56801320781645,-2.37860011754139,-2.24201705882916,-2.09293463898138,-1.79226825255168,6907,1.00185688617098,1,-2.52801723723003,-2.24201705882916,-1.87196292409689,0.00523288448760884,0.003565973192734,0.00332023838167039,0.00453661674960415,0.014110956386137,0.0017157431066932,7878,3588
"annual_age0devs[8]",-2.14395974457507,0.00322391808595579,0.278785935365558,-2.70002667857095,-2.32919334530782,-2.14240216242085,-1.9523922446772,-1.6148715425186,7353,1.0006758496082,1,-2.60557186907807,-2.14240216242085,-1.69400408481433,0.0118291540393014,0.00511753767124246,0.00392023535104169,0.0050191621575264,0.0116759400399093,0.00233095561719788,7488,3243
"annual_age0devs[9]",1.07872950353367,0.00304891183837795,0.153668631874904,0.789631111910149,0.972953362064056,1.07037933186569,1.17666718380929,1.39708491565099,2526,1.00082256872021,1,0.836813728817607,1.07037933186569,1.34544759472922,0.00539371559123758,0.00312712648650137,0.00317610848156313,0.00365646267154318,0.010639283559728,0.00227338189355654,2699,2159
"annual_age0devs[10]",-2.05435746486252,0.00639048468541391,0.383625163595697,-2.78635202352928,-2.31319541735174,-2.06294772464732,-1.79450767684608,-1.28464356874819,3578,1.00107373150642,1,-2.67189421570209,-2.06294772464732,-1.40303798339251,0.00878602728779621,0.00674961755158243,0.00720642612592304,0.0112775670781486,0.0166647408832228,0.0045426946578004,3595,3677
"annual_age0devs[11]",-1.29541050925324,0.00664211189149854,0.345814149372615,-1.9150338694069,-1.56002474296924,-1.2963274084986,-1.04323844342395,-0.634476100346881,2653,1.00108671370279,1,-1.84918079644605,-1.2963274084986,-0.731214421351009,0.0115400295614796,0.00835178355359112,0.00919376820396156,0.0067546084797403,0.0135837873293614,0.00478048665388651,2749,3835
"annual_age0devs[12]",-3.03161731765163,0.00371637646445228,0.30307197481982,-3.66689403413926,-3.22582328214114,-3.01712419176641,-2.8261659441573,-2.48124900963101,6585,1.00083200873555,1,-3.54505949140051,-3.01712419176641,-2.55325771898656,0.0189375674122947,0.00757423397148127,0.00414393160624194,0.00502440781186619,0.00751668691579344,0.00277348967695241,7172,3138
"annual_age0devs[13]",-1.22424593314757,0.00174690858696516,0.154747514599904,-1.53170074792265,-1.32674328958729,-1.22449040704125,-1.12165442574339,-0.918847821029623,7751,1.00039517888952,1,-1.47917014014691,-1.22449040704125,-0.964430879540246,0.00597298716067574,0.00284504972751343,0.00220301309763826,0.00299537316625909,0.00767384034023078,0.0012841430374175,7873,3109
"annual_age0devs[14]",-1.76173417636237,0.00211958785970098,0.172495007146151,-2.10544884097569,-1.87642628863249,-1.7608358927524,-1.64320960955192,-1.42770370307186,6422,1.00134664598284,1,-2.04933042214627,-1.7608358927524,-1.48383510101037,0.00872285099664838,0.00335094692171012,0.00251078870640065,0.00392406861478012,0.0067152736446241,0.00153779803774993,6641,2901
"annual_age0devs[15]",-1.00240271677181,0.00167216189694494,0.156504311432246,-1.30951733301847,-1.10887244332518,-1.00188706062871,-0.895213129470236,-0.700218905286538,8703,1.00120510639894,1,-1.26109165571874,-1.00188706062871,-0.744026404979308,0.00613367873393589,0.003093209389883,0.00256588893485965,0.00284183573236163,0.00509865303189372,0.00121647218073364,8761,3590
"annual_age0devs[16]",-1.21283294829253,0.00196285910623261,0.181456090706811,-1.56686021629372,-1.33659973388129,-1.21348180910923,-1.08815339760947,-0.862797567711603,8384,1.00068351115142,1,-1.50792328035879,-1.21348180910923,-0.916717529019337,0.00659601903857787,0.00408548479364068,0.00270294940584481,0.00432976373750016,0.00578686869887068,0.00144507758983951,8545,3559
"annual_age0devs[17]",-3.63307647603637,0.00469785199401638,0.391980074026308,-4.46729538635555,-3.88790360958244,-3.62508057774095,-3.35778218534731,-2.91710160996898,6894,1.00008153321672,1,-4.29098667565438,-3.62508057774095,-3.01732143227369,0.0211357452303602,0.00947133400078837,0.00624091600925647,0.00686694711178815,0.0165353840513651,0.00351881559810353,7514,3207
"annual_age0devs[18]",-1.97978142315527,0.00262825781935372,0.243155978717572,-2.46139108434396,-2.14441469398152,-1.97501428486318,-1.81722025705039,-1.51049362934058,8411,1.00100486446343,1,-2.38432386773544,-1.97501428486318,-1.58781712742997,0.0136878068774924,0.00444743827345118,0.00405095590594229,0.00495015067031446,0.0117421067975565,0.0019107705256381,8577,3486
"annual_age0devs[19]",-3.17716030263489,0.00396264261756087,0.386513743922012,-3.98426885000926,-3.41546286590727,-3.15955959373161,-2.91779559366361,-2.45620843290437,9343,1.00072815570436,1,-3.85707998204832,-3.15955959373161,-2.55646052689508,0.0181839016987881,0.00790489146763518,0.0060561334822915,0.00614938506965546,0.0139915592783568,0.00297467101789214,10105,3543
"annual_age0devs[20]",0.0482778773084625,0.00196776995275673,0.184557135591644,-0.309506506297473,-0.0747787874642172,0.0468646144980189,0.174145399852129,0.404843663152375,8750,1.00037894246555,1,-0.258742770712596,0.0468646144980189,0.351148749525749,0.00778771225115449,0.00326703707305853,0.00261248194062613,0.00371909309598717,0.00685897063545404,0.00293201034095504,8851,3463
"annual_age0devs[21]",-1.51044260155702,0.00255430600817193,0.242799879847909,-2.01172975866988,-1.66899287152306,-1.50783125718677,-1.34472475987999,-1.05755375584132,8973,1.00011568695276,1,-1.92223376862277,-1.50783125718677,-1.12039914420519,0.0151636322954549,0.00551608432639394,0.00333342809453185,0.00441951313250843,0.00844178321088673,0.00189435648036741,9186,3847
"annual_age0devs[22]",-2.15646092345325,0.0035838731722639,0.31693597419596,-2.80068252454894,-2.36081767788383,-2.14785589101554,-1.93692218146662,-1.55858431542947,7711,1.00007309865704,1,-2.69166302888165,-2.14785589101554,-1.64331534929123,0.0151438249730242,0.00673034210578294,0.00460147763837959,0.006416719698775,0.0132791996095598,0.00280668337587951,8135,2837
"annual_age0devs[23]",-1.96253637187465,0.0028101346458226,0.27827398863702,-2.51485984375044,-2.14553531216892,-1.96011539266007,-1.77482070470281,-1.43133254711718,9707,1.00226129155189,1,-2.4231358774798,-1.96011539266007,-1.50970758142282,0.0177385722206833,0.00572665158304853,0.00353395580718097,0.00529383146872586,0.00933515065938995,0.00206849247945238,9863,3569
"annual_age0devs[24]",-2.24228186138746,0.00303380750462655,0.283977151932038,-2.80949817126013,-2.43505696178897,-2.23970857462913,-2.04504842252489,-1.71268312411865,8601,1.0004903997469,1,-2.71905237546534,-2.23970857462913,-1.79172988904303,0.0167110915526143,0.00596375197180476,0.00368665899544141,0.00498751527495944,0.00745928252137418,0.00218653079551226,9146,3659
"annual_age0devs[25]",-0.607748147759161,0.00206739941270743,0.192788004359984,-0.990239007220384,-0.741956659724721,-0.606550475335744,-0.47386756625748,-0.239243674750336,8612,1.00040981729981,1,-0.927999522186884,-0.606550475335744,-0.289047429901842,0.00764908737397185,0.00522453071379037,0.00314990275710336,0.00426594888756515,0.0068599043846449,0.0016178398968167,8755,3455
"annual_age0devs[26]",-0.774957203725738,0.00214277897828698,0.198935093880198,-1.16778781522218,-0.910225294012049,-0.776004363936176,-0.638925341774282,-0.385600856649188,8533,1.00065138507559,1,-1.10273831465898,-0.776004363936176,-0.45013718711207,0.00509105397199239,0.00254362690804566,0.00347377443124586,0.00401374784824338,0.00804903158443793,0.00160010042110936,8644,3660
"annual_age0devs[27]",-1.70451853653422,0.00269640003094446,0.252718725969425,-2.20803487073139,-1.86931875324474,-1.70255146040527,-1.53214866083524,-1.21541007636574,8710,1.0024124306744,1,-2.12739084051737,-1.70255146040527,-1.28994155047145,0.0102792033917689,0.00487553533228713,0.00334182269677097,0.0044146190857095,0.00927665685093704,0.00198680142220587,8858,3630
"annual_age0devs[28]",-1.51085399673442,0.00243373282908777,0.226018413148559,-1.95596081796684,-1.66216681094015,-1.50570444008617,-1.35523607920255,-1.07882722035766,8562,1.00288300217753,1,-1.8831189615546,-1.50570444008617,-1.14528866953519,0.0112705373326882,0.00489102678395437,0.00261750867514543,0.00406440450691292,0.00510891840367123,0.00179087555300073,8689,3262
"annual_age0devs[29]",-2.86806285794882,0.00353438606991063,0.333386845988759,-3.55443787734276,-3.08504555447475,-2.85852777647858,-2.63445199617952,-2.2419486887899,8974,1.00259375708761,1,-3.42757104535596,-2.85852777647858,-2.34225651030084,0.0177599838993721,0.0057982557972549,0.00478302731853519,0.00634534969943967,0.0112145793769876,0.00258438964671196,9104,3405
"annual_age0devs[30]",-1.83709662106392,0.00228022617826967,0.231228550649356,-2.29688603036958,-1.99284095828122,-1.83859014328008,-1.67891201172258,-1.39507777856394,10243,1.00008128188957,1,-2.21937377496724,-1.83859014328008,-1.45768019796314,0.00757232289663001,0.00458719237927685,0.00347486859101576,0.00571771805115695,0.00890278117214027,0.00166394966747437,10310,3901
"annual_age0devs[31]",-2.9286568253875,0.00368676193515961,0.337298302344699,-3.61887724311197,-3.15032293963072,-2.91273857784232,-2.69343494023042,-2.30921982707083,8365,1.00041015481847,1,-3.50432310010654,-2.91273857784232,-2.39043364250186,0.0211060793132063,0.00562935962198718,0.00489842752796221,0.00559556954767837,0.0104765935044946,0.00272905179601611,8701,3440
"annual_age0devs[32]",-3.7628510829977,0.00555905970855516,0.397344614802569,-4.60097278802674,-4.01942859030172,-3.74606709505112,-3.4834026145549,-3.02997366797918,5050,1.00005408921001,1,-4.45505626632,-3.74606709505112,-3.14193186296872,0.0180272242724042,0.00891632351008687,0.00851363467343891,0.00845079481711375,0.0144536639660373,0.00402413822755578,5253,3333
"annual_age0devs[33]",-2.68876659640547,0.0032321115770719,0.276499338112647,-3.24920630101923,-2.87174033464521,-2.68798469045993,-2.49936696388583,-2.15630649026007,7365,1.00265834980814,1,-3.15523769377075,-2.68798469045993,-2.23499254555408,0.0174845447386143,0.00598250513769072,0.0043933692549265,0.00547720600646384,0.00867178026695559,0.0023073276651963,7355,3536
"annual_age0devs[34]",-2.50757324707965,0.002986774510311,0.277862928125717,-3.06791563955201,-2.68805624052637,-2.50560166462159,-2.31818601043002,-1.9739629118848,8576,1.00438630259405,1,-2.97627154431716,-2.50560166462159,-2.05857406555904,0.0102399641672726,0.00589010404419721,0.00414850450343884,0.00567522460786396,0.0112616880780072,0.00215484093001569,8676,3930
"annual_age0devs[35]",-1.76062568652231,0.00276120231063797,0.250584540298833,-2.25313123172794,-1.9283572997283,-1.76079202709136,-1.58687620340648,-1.26810570296061,8141,1.00230746567183,1,-2.18193514738115,-1.76079202709136,-1.35126691375495,0.0135195866989246,0.00497425807779184,0.00408519573458399,0.00454877102359585,0.0111577386718169,0.00199529011228121,8214,3636
"annual_age0devs[36]",-2.50796999943412,0.00361450021416175,0.352512053585151,-3.20625492567117,-2.73962688651773,-2.50324581664719,-2.26495081111694,-1.84160021782408,9437,1.00063304357758,1,-3.0913295139744,-2.50324581664719,-1.93124471528779,0.015526451787673,0.00653369526466641,0.00509574587748229,0.00726164647156446,0.0109134576949064,0.002654353681161,9632,3722
"annual_age0devs[37]",0.0078782255803001,0.00284095593995741,0.251480638944449,-0.478039413040669,-0.167647386984106,0.00550938563304015,0.176787883833683,0.51009116411961,7717,1.00026390339008,1,-0.403480715831371,0.00550938563304015,0.42595343451902,0.0107350369750749,0.00583659555244687,0.00319788948327293,0.00509606364843762,0.0108175386419438,0.00445742433676324,7949,2752
"annual_age0devs[38]",-1.74957496731959,0.00451112869514663,0.401970916249502,-2.56479996902186,-2.02297502637707,-1.73879075264638,-1.47304512156349,-0.998327252828276,7814,1.00218165941318,1,-2.41463337831977,-1.73879075264638,-1.10221723201596,0.0207565757579906,0.00760475264750804,0.0054579373219914,0.00761742186859315,0.0178244131111569,0.00345533289691374,8134,3467
"annual_age0devs[39]",-1.74995954322768,0.00561480408641967,0.541447021544401,-2.88113240545951,-2.10888791874216,-1.73202214694931,-1.38943017901627,-0.722924981562763,9196,1.0013904192138,1,-2.67520307472744,-1.73202214694931,-0.879072390300494,0.032677807951619,0.00835030928897051,0.00805318312702319,0.00708239716435877,0.0199492634936025,0.00439981971739048,9408,3827
"annual_age0devs[40]",-2.14877793672405,0.0300221544862366,1.18574266848444,-3.96699760973037,-2.91773570066711,-2.30297205145782,-1.59544362962292,0.737750880746086,1557,1.00060600038602,1,-3.70084855305734,-2.30297205145782,-0.0196229352024164,0.0233133722608461,0.0158924563709224,0.020237001821279,0.0326477665894451,0.176440893696435,0.0212328396115756,2836,1470
"annual_age0devs[41]",-0.662671620352321,0.0250790021462419,1.1601019710341,-2.51655171836121,-1.42972188339526,-0.813745620956245,-0.083281213941619,2.24959827834921,2132,1.00046019320332,1,-2.24692219105748,-0.813745620956245,1.46740344942602,0.0333054064486418,0.0178023262026654,0.0171904264949196,0.0351807921484095,0.117908926120438,0.0178785073071414,2846,1537
"beta_mortality[1]",0.34289317412885,0.00137456656136001,0.124496105390523,0.106486258813839,0.259634260631471,0.341349834143793,0.427647429975048,0.584136904285809,8087,1.00127898294152,1,0.135631986534372,0.341349834143793,0.548852092099112,0.00571757877685108,0.00260061254992117,0.00191573216365093,0.00188860979759831,0.00430033482234293,0.00103365870139238,8206,3896
"beta_mortality[2]",0.552547721196874,0.00105817831824778,0.103661234404925,0.348849361632838,0.482527940490855,0.55139739567492,0.621051218842546,0.759920194048973,9557,1.00011302161226,1,0.380723607042921,0.55139739567492,0.724555924879023,0.00363460766246781,0.00202098711224785,0.00138089425850474,0.00155798601926982,0.0043986320141034,0.000789768353526517,9678,3773
"beta_mortality[3]",-1.24637587914321,0.37644823989115,15.0256738439943,-24.7431410029296,-14.6913653657923,-1.92810634953157,12.3501345894483,23.6618552748946,1555,1.00596572121906,1,-23.5579127258913,-1.92810634953157,22.2733201002653,0.244323935719923,0.591502778861159,0.479673725861035,0.484004704470124,0.256206063066692,0.365672006445745,1101,774
"lp__",-139.563311823802,0.143688714429747,5.87198903707589,-152.15775,-143.346,-139.2685,-135.398,-128.953875,1658,1.00056720148567,1,-149.68825,-139.2685,-130.47825,0.420500000000004,0.167000000000002,0.180499999999995,0.152000000000001,0.173000000000002,0.101621014353057,1654,2791
