"Btilde_ratio","Btilde_prob","mean_ghl","mean_yield_difference","mean_lost_yield","num_KI_fisheries"
0.285786288457981,0,1918.79817240315,10261.8774353705,10261.8774353705,3
0.482109063708173,0.0833333333333333,1996.2183624692,1668.12046516719,2980.56357883091,1
0.389820663220632,0.00333333333333333,3943.67426440168,20521.4046281932,20521.4046281932,5
0.393172849248203,0,8250.24368646637,24539.3199690065,24539.3199690065,8
0.362710424979742,0,5624.28473716037,11967.7241431548,11967.7241431548,6
0.380174396000249,0,1416.72020654811,13061.8797157345,13061.8797157345,5
0.550539543491796,0.153333333333333,1592.40056742697,8849.12003456489,8849.12003456489,3
0.22575218243027,0,2347.48050684142,15266.7363511183,15266.7363511183,3
0.353501277928213,0.00333333333333333,985.41315230812,8596.31703360686,8596.31703360686,1
0.433053408914441,0.02,877.122398238878,7685.02649565222,7685.02649565222,0
0.288341825762253,0,2599.92705296576,16592.6879214726,16592.6879214726,3
0.403277818236446,0.02,2717.98130120483,27285.1966582666,27285.1966582666,5
0.246935256011262,0,811.767161081939,11558.9431126036,11558.9431126036,1
0.351223391267711,0,829.033799576893,8665.81899534815,8665.81899534815,2
0.220703438262428,0,2966.08046028276,11434.9468892719,11434.9468892719,3
0.334449587527249,0,883.057441822549,9656.55365887077,9656.55365887077,0
0.331541476159647,0,812.206291036586,10504.8649274813,10504.8649274813,1
0.309924548268625,0,1023.77271588291,11930.9046949901,11930.9046949901,0
0.240658337150583,0,1801.0846442813,5148.6729471957,5148.6729471957,1
0.31669636319886,0,5010.79006028964,23197.9373176289,23197.9373176289,7
0.328854067777002,0,1633.33185127971,11573.2388261102,11573.2388261102,5
0.305792989308381,0,1537.82682830458,9544.79441925458,9544.79441925458,3
0.353083121031372,0,1553.3306254684,13295.5083934982,13295.5083934982,4
0.351327458422997,0,964.960046841692,11763.7571164425,11763.7571164425,4
0.420851712053067,0.0233333333333333,942.003425989969,2828.52796768357,2828.52796768357,1
0.51224034965748,0.0333333333333333,1257.08554483852,10536.6663487615,10536.6663487615,1
0.372047141776299,0,996.29181591891,4637.74308552557,4637.74308552557,1
0.35297334951129,0.01,1589.39305903287,10266.2178291518,10266.2178291518,1
0.265722092563912,0,2462.03778166076,14709.0992991855,14709.0992991855,6
0.293666258180328,0,1472.43479383497,6509.38051343338,6509.38051343338,0
0.370144473209275,0.00333333333333333,1592.58917937876,14374.1905155893,14374.1905155893,4
0.349775699965485,0.00666666666666667,1173.65357739484,9186.83863371564,9186.83863371564,1
0.405719816546155,0.01,993.176190866906,7446.91504439145,7446.91504439145,2
0.372350463697494,0.00666666666666667,1653.48287230483,13001.1921090856,13001.1921090856,3
0.397950102912116,0.0433333333333333,1204.80281694788,4551.96093048688,4551.96093048688,1
0.244648823391257,0,3795.25037775457,13704.1860392658,13704.1860392658,6
0.530612086465118,0.146666666666667,5502.63644655,16663.5232330175,16663.5232330175,7
0.331791793559782,0,4397.98474980791,20126.4566566681,20126.4566566681,8
0.238105282605963,0,3415.36656408563,69001.1072953223,69001.1072953223,9
0.319380431434542,0.00333333333333333,1169.47520613567,10423.6654175353,10423.6654175353,1
0.390058430512501,0.00666666666666667,818.569510167404,6203.77356017198,6203.77356017198,0
0.410772206994922,0.00666666666666667,946.693550403694,6594.79413488717,6594.79413488717,0
0.438212469389712,0.0333333333333333,5185.73153585164,19179.795211749,19179.795211749,8
0.260271223611068,0,2554.78198175582,13348.9851689156,13348.9851689156,4
0.312438610429991,0,901.724692481197,7709.57498701126,7709.57498701126,3
0.487492459429774,0.0666666666666667,1246.74463137156,9298.04833377527,9298.04833377527,3
0.438151488533907,0.0733333333333333,1535.71017261662,9617.25940685459,9617.25940685459,3
0.352393958998824,0,1837.18926190795,7403.04848976875,7403.04848976875,1
0.526056374556599,0.08,1009.21973883863,4271.10884043281,4271.10884043281,0
0.540850350584502,0.11,1222.06552214896,4643.62082671952,4643.62082671952,2
