"Year","iteration","biomass","recruits","mdm"
1980,1,71847.1016750471,1085.84865572007,88.5177603710023
1980,2,70776.5502724922,1024.07451120286,80.4340402384727
1980,3,67400.0695876165,1042.66993523962,73.6983439210867
1980,4,67826.9010420096,1028.76532034726,76.3227212317233
1980,5,68021.3172697121,1041.13988369431,78.4777754801935
1980,6,68907.964262949,1034.86890767757,79.5358174674344
1980,7,68379.7444190291,1049.66796206024,78.4922549175583
1980,8,70459.6276714925,1072.51826860086,89.4410119342059
1980,9,70516.3577637076,1045.79752082799,86.0657346978233
1980,10,66778.127500836,1006.39962460322,82.3709980437571
1980,11,69428.2603939763,1085.98125852776,87.6650987817152
1980,12,64674.2794211737,1017.19006694028,71.81343212302
1980,13,70485.2594153886,1039.60887183583,92.3209069768981
1980,14,68349.9113571677,1008.08588055054,79.4540913215599
1980,15,66134.7496323235,1008.49686140331,85.8303956813579
1980,16,69073.8406940943,1024.92823254472,85.0946525149373
1980,17,69840.7216321914,1040.85096059511,82.0519046559409
1980,18,70485.2632937373,1064.5786642977,83.2709783433925
1980,19,69644.7615753958,1020.8722074503,94.0910457191107
1980,20,69350.474775572,1071.29041626583,73.6944342289004
1980,21,69877.0119319759,1046.63118772462,82.5181517266103
1980,22,70467.6538371629,1056.65945190592,86.6388373671787
1980,23,66442.6987545727,1012.32272717433,76.1480848139373
1980,24,66413.3256514079,993.640815131889,85.7899807192406
1980,25,71172.9052636068,1045.88382652905,88.2587312333152
1980,26,68378.2927675521,1033.65678965548,79.8120716543905
1980,27,71745.9463228992,1069.03098601543,86.6798738600087
1980,28,68325.4820828364,1022.44312711268,76.8007698498431
1980,29,69006.8719724686,1024.33637823735,82.351706606044
1980,30,70588.540122829,1021.34874790753,88.3994759456328
1980,31,65926.7917687376,1004.08544705474,75.6921440423838
1980,32,68767.2102809719,1025.85066731197,86.0179145579194
1980,33,71043.6888959715,1061.94972670591,78.5372342767805
1980,34,66912.7529879229,1033.07848246635,75.089792390071
1980,35,71136.3341619111,1071.66639187092,76.2609619273343
1980,36,67868.3248839619,1023.49565157527,86.680885002313
1980,37,65793.8738994898,1006.77920992779,69.7019077839601
1980,38,63096.474201848,992.820266600574,72.2906682391075
1980,39,61385.2369951251,932.563306747014,70.9301232306674
1980,40,68342.2880017399,990.899679160847,97.384649735161
1980,41,70082.413627298,1041.18325120109,86.6458938286799
1980,42,69393.3682448692,1025.70924763246,90.17755875278
1980,43,66888.1446276845,1065.53717054561,72.2390144323181
