"Years","Median Age 3 (in millions)","Lower 95th Age 3 (in millions)","Upper 95th Age 3 (in millions)","Median Pre-fishery biomass (in 1000s metric tons)","Lower 95th Biomass (in 1000s metric tons)","Upper 95th Biomass (in 1000s metric tons)","Catch (metric tons)","Median Exploitation rate","Lower 95th ER","Upper 95th ER","Probability B<20K"
1980,233.58,153.03,340.55,88.07705,69.5606,117.74405,7143.76,0.08,0.06,0.1,0
1981,119.79,78.13,179.98,70.1641,57.11967,88.77307,14140.11,0.2,0.16,0.25,0
1982,169.34,122.53,232.9,61.3336,47.96788,80.40846,8097.08,0.13,0.1,0.17,0
1983,504.7,399.98,645.3,81.89985,64.06706,106.30395,3069.28,0.04,0.03,0.05,0
1984,403.26,314.76,516.03,96.0635,76.36116,123.33065,6956.55,0.07,0.06,0.09,0
1985,114.96,85.32,156.31,110.088,87.05867,141.5069,8172.3,0.07,0.06,0.09,0
1986,146.01,108.44,195.41,95.22425,75.31954,122.09915,11360.92,0.12,0.09,0.15,0
1987,1332.44,1071.34,1691.27,128.945,102.23353,164.81705,6748.05,0.05,0.04,0.07,0
1988,142.5,103.96,195.24,146.144,116.56218,186.25635,10039.84,0.07,0.05,0.09,0
1989,25.54,18.52,40.47,136.6355,108.17603,175.90525,500.3,0,0,0,0
1990,27.7,14.96,49.21,115.7425,91.9187,148.6269,10461.09,0.09,0.07,0.11,0
1991,677.27,503.64,941.99,107.776,84.40408,140.5851,16510.43,0.15,0.12,0.2,0
1992,29.86,15.26,63.15,94.12215,70.46193,126.63097,20838.19,0.22,0.16,0.3,0
1993,64.93,43.1,100.1,46.09095,35.15988,60.00376,2631.78,0.06,0.04,0.07,0
1994,13.12,6.35,24.21,21.947,16.90938,28.83491,0,0,0,0,0.23
1995,87.46,48.6,129.13,23.5761,18.16911,30.47625,0,0,0,0,0.1
1996,40.55,29.03,56.55,23.0208,18.44059,29.14394,511.94,0.02,0.02,0.03,0.1
1997,84.25,62.24,115.35,25.0273,20.19207,31.66364,4917.92,0.2,0.16,0.24,0.02
1998,67.86,47.5,97.28,20.0527,15.36399,26.44828,4150.79,0.21,0.16,0.27,0.49
1999,6.2,2.58,12.95,15.16155,10.83334,21.10533,50.16,0,0,0,0.95
2000,31.86,19.81,51.11,14.11555,10.1689,19.53094,0,0,0,0,0.98
2001,10.07,4.37,20.21,13.674,9.84264,18.93549,0,0,0,0,0.99
2002,249.14,173.24,360.8,18.9173,13.84617,26.04295,0,0,0,0,0.63
2003,49.47,30.13,78.62,26.62595,19.41523,36.99372,0,0,0,0,0.04
2004,25.77,13.56,46.78,27.03975,19.55273,37.66268,0,0,0,0,0.03
2005,35.29,19.25,59.76,20.8961,15.06977,29.20664,0,0,0,0,0.4
2006,28.87,15.92,50.44,19.43535,13.80368,27.57247,0,0,0,0,0.56
2007,144.34,96.81,214.39,23.1521,16.3202,33.02284,0,0,0,0,0.21
2008,119.03,78.78,179.79,31.4789,22.19917,45.00055,0,0,0,0,0.01
2009,44.22,26.31,71.99,26.4155,18.92545,37.20814,0,0,0,0,0.05
2010,56.69,35.76,87.32,25.16575,18.06311,35.05554,0,0,0,0,0.09
2011,14.26,6.89,26.72,19.23345,13.85737,26.65363,0,0,0,0,0.59
2012,39.8,25.09,61.96,17.1211,12.42276,23.78061,0,0,0,0,0.82
2013,13.78,7.12,24.81,15.0595,10.88222,20.80356,0,0,0,0,0.96
2014,3.27,0.94,8.56,10.3689,7.41135,14.38379,0,0,0,0,1
2015,15.83,8.65,27.46,7.88873,5.5551,11.00057,0,0,0,0,1
2016,20.34,11.91,33.86,5.32706,3.73308,7.57737,0,0,0,0,1
2017,38.67,23.46,63.72,5.74652,4.03346,8.32114,0,0,0,0,1
2018,20.33,10.07,38.23,6.02028,4.13303,8.97465,0,0,0,0,1
2019,226.86,150.43,354.52,12.77345,8.86881,19.01901,0,0,0,0,0.99
2020,44.71,23.71,82.7,17.7445,12.2118,26.62775,0,0,0,0,0.71
2021,36.65,18.16,70.96,21.5337,14.71004,32.86224,0,0,0,0,0.36
2022,102.66,54.37,188.68,22.0031,14.63323,33.80897,0,0,0,0,0.32
2023,152.22,76.11,296.29,29.22,19.16982,46.00726,0,0,0,0,0.04
2024,51.67,14.41,156.27,31.80305,20.28962,51.8958,0,0,0,0,0.02
