"Year","iteration","biomass","recruits","mdm"
1980,1,63958.3892090934,1010.30616578792,94.8450616876588
1980,2,67271.4460427604,1058.51067215907,95.3539541369429
1980,3,68526.5741725882,1065.52580000313,89.6578822738296
1980,4,68353.2125896794,1061.99476089472,89.410536572646
1980,5,66718.4485200147,1067.57235219308,91.4795295630791
1980,6,69213.0730343922,1074.18501119679,90.9231269812578
1980,7,65943.8643316022,1015.93255310915,102.074299351724
1980,8,67943.6165753357,1069.00466974943,94.5006924739799
1980,9,67766.7527454332,1066.87158136333,91.2596533266145
1980,10,64263.9745514139,1017.80466703859,95.0143464037042
1980,11,69049.5039671164,1101.13267487095,90.028356733654
1980,12,65663.1154252765,1014.57538376719,98.8218538996192
1980,13,69529.9152608239,1086.54387208017,85.9294706750539
1980,14,66779.2693696834,1029.26671489542,98.6982333658764
1980,15,68694.6347073631,1084.35136933793,101.121854771077
1980,16,67411.7932234952,1069.74524968103,87.914139712866
1980,17,66126.6231175149,1033.13075257912,96.5074978471665
1980,18,64583.8463398353,1009.20180926217,90.9631706287729
1980,19,65568.4385429044,1037.25631564157,94.4331117425852
1980,20,68734.8125886642,1074.91059647438,93.7963883637582
1980,21,66993.9689311386,1061.11811650649,96.9486061545189
1980,22,64640.3823411469,1013.95505970077,91.2787367289542
1980,23,62891.390115637,1009.08063701557,93.3630089754051
1980,24,65840.9532441448,987.701375323502,105.690948224055
1980,25,66325.8041073868,1019.27798255498,105.581674340778
1980,26,66921.3162702519,1043.58937433763,97.1834900013182
1980,27,70265.5533731376,1085.99198688539,92.4897193588217
1980,28,68440.2407769675,1075.77232841336,94.5974176725649
1980,29,66645.2787599711,1075.73156479212,90.7090306996085
1980,30,61794.9083315703,938.622190824893,112.961726861295
1980,31,63557.0260019686,1010.24148019431,93.9151683143924
1980,32,65262.5865604747,1024.78844065207,90.8966404936811
1980,33,64514.8633522139,1032.06090803537,93.8493021281135
1980,34,68543.2544367955,1063.6809963581,102.31981690017
1980,35,66849.2649952045,1038.24082832417,100.564620454893
1980,36,67449.9363397299,1061.71148460119,95.5098832153139
1980,37,66790.3745859022,1054.17949411667,96.0362665719852
1980,38,64335.4566203752,1033.05955241109,89.1681822746445
1980,39,68795.6064446644,1079.50349034062,95.4051374404994
1980,40,66208.9344758614,1031.04581780308,98.7618123969932
