"Year","iteration","mdm","KI_mdm"
2025,3,38.8728740700201,41.331838949972
2025,4,46.1819200452923,76.7667842639329
2025,7,42.3470588350643,37.4640435026472
2025,11,33.8830213539819,22.9404369489848
2025,12,54.7077784856372,71.8376465686751
2025,13,56.5905145250732,27.4124017052018
2025,14,30.4213521306096,25.7418029685778
2025,15,58.5160522100361,62.2556402666707
2025,16,34.9093732522454,42.7942128465192
2025,18,30.4727059931163,29.0978015852045
2025,20,55.9633248030215,80.4286949645534
2025,22,50.9082301894706,67.4734798398106
2025,24,30.3846744320993,38.5387542614628
2025,25,45.0054992034971,34.1164533822547
2025,26,39.1793482443754,52.7544654541833
2025,27,33.7142815054134,67.800807639343
2025,31,38.0792444437937,39.2083724296645
2025,32,42.5722412755033,31.5357147205533
2025,33,54.5261235531448,58.4372210960389
2025,35,49.2632389585871,41.8400462839483
2025,36,46.1518386258186,64.5306539886807
2025,37,50.816198590317,39.0633842653741
2025,38,34.8443079634751,41.5730940568907
2025,40,40.2905109694121,48.194872823558
2025,41,47.663416955234,60.0927971586979
2025,42,37.1306975954501,44.3901546724847
2025,43,40.6547650777449,43.2447605117074
2025,44,41.1775234935885,26.1552896865902
2025,45,42.8005978372717,109.557022656365
2025,48,44.9976883040551,24.5390200792065
2025,49,35.0698195407933,49.6678136772146
2025,51,48.9637327278613,70.6165019048159
2025,53,39.1964967529414,69.4568230218623
2025,56,92.2400047952474,43.6097533939563
2025,57,32.7153151828452,25.637172364643
2025,58,61.9570377230621,94.8171294494011
2025,59,44.9334424852302,30.7370958347293
2025,62,30.4284670655908,34.1177752304877
2025,68,30.7687415261929,33.4418028751924
2025,70,57.1209290082402,96.4129294770663
2025,73,49.075748918928,42.2035353241678
2025,76,42.3182977915113,44.1927763832678
2025,77,54.8193719897912,70.8983831298839
2025,78,36.8586576975282,53.2923699093085
2025,79,42.0899690793235,55.1180118634246
2025,80,61.7213783112069,70.7230294217948
2025,81,41.6454023404143,66.1211986428783
2025,82,40.7883801918613,58.292062228332
2025,87,43.9165849213758,27.7483725136166
2025,89,50.6542709427496,91.9754427656512
2025,90,41.477608271809,46.820074426225
2025,92,69.5029731286063,67.5541941277297
2025,93,72.133575077936,101.524739456866
2025,95,60.7222369128095,95.503624082751
2025,99,35.6944714747757,31.8090391679899
2025,100,41.1477625110056,68.248790467794
2026,3,26.3005503419001,10.8191709291888
2026,4,79.0296945239978,22.494575981999
2026,7,41.4457402062755,26.9077500500773
2026,11,62.0180414486127,17.3323582442635
2026,12,33.4359961673639,40.8608931857605
2026,13,58.4322950031451,27.8194499761957
2026,14,44.0862940435559,21.1162408790465
2026,15,50.2733739961243,45.562812784942
2026,16,27.4644136484367,18.3020819529951
2026,18,32.5226280487646,35.7866249429884
2026,20,66.900998215542,24.2811759924047
2026,22,37.7754778401222,23.6317842732904
2026,24,64.2800797571372,41.3423925961943
2026,25,88.0322219449019,25.4217691084447
2026,26,37.6551007036132,21.7450662307235
2026,27,25.0292744444368,25.2713290692498
2026,31,70.0580654674337,31.8829962627197
2026,32,41.2686072167619,13.6055176097367
2026,33,36.4387138355068,39.8294207697028
2026,35,35.7532625425302,39.5112606259332
2026,36,36.6336977855962,20.5663128312327
2026,37,24.6898689701911,14.8651514630701
2026,38,24.9572335032427,15.1249538460016
2026,40,29.9486337866074,18.4582610770682
2026,41,37.8577189055097,18.836847220891
2026,42,28.9515859432536,18.2171563524112
2026,43,57.1874578170757,32.6149306455774
2026,44,46.531806651737,35.0449657456773
2026,45,30.435343268983,33.2788243105278
2026,48,42.8099377087663,31.6975575108178
2026,49,25.6034163839356,14.5366822667307
2026,51,43.5124365491074,80.5873066035285
2026,53,28.3884063701652,20.1278952861882
2026,56,78.6252804138158,46.0582470441339
2026,57,33.4473653518814,23.2664640272853
2026,58,42.8063746098846,75.1931682655008
2026,59,46.2613671810307,30.4803125473387
2026,62,58.8710786328127,25.2316412056623
2026,68,31.8515180829335,30.4118073935342
2026,70,45.8765662374344,30.2107480780932
2026,73,35.1541265994987,15.0548352435404
2026,76,34.3963786298492,17.6677661862487
2026,77,41.3481220484074,57.7350081940449
2026,78,29.1049358089846,27.9747943897923
2026,79,28.825767753965,15.3031537609582
2026,80,33.2825008693343,34.7447549298434
2026,81,61.5567326201515,43.1508348228179
2026,82,51.8918231298914,33.1805466081346
2026,87,82.6411716906655,28.9119630083379
2026,89,54.6355876095172,73.4179852608406
2026,90,44.2754676234006,19.8556488664654
2026,92,71.5600308448929,15.743806810538
2026,93,54.3975687122189,76.0795997038097
2026,95,58.8112897427318,25.3801326071091
2026,99,65.7939510151388,29.5582270258952
2026,100,32.9004653340333,30.085507021173
2027,3,47.5637345776623,9.14795903568239
2027,4,166.840783317695,23.0786888617309
2027,7,52.2320111939406,13.9625625419837
2027,11,41.7177388506536,13.4764685884176
2027,12,33.0305560235922,18.6351707768538
2027,13,69.3080109696628,16.1828289882462
2027,14,45.6204386337217,10.2511010580992
2027,15,88.3630920666002,25.5683883588283
2027,16,58.6863972261486,22.1137929062262
2027,18,39.7380622665014,18.1433087772293
2027,20,60.1402642581617,28.5835655667178
2027,22,33.0436659610794,77.873696759113
2027,24,61.6031412712539,24.6208209662812
2027,25,41.1278624785604,13.1066867907881
2027,26,61.2283564809367,17.7456234403579
2027,27,51.5171329072067,25.3361511108943
2027,31,32.8882971062525,17.0875828414534
2027,32,52.8712295355895,13.3083276490762
2027,33,34.1093516807095,43.7263474833963
2027,35,69.2996231639239,26.5624773399948
2027,36,103.257745003522,29.0887952842251
2027,37,29.1336015167118,40.3610206120165
2027,38,21.0034947353856,38.7819568969464
2027,40,67.3508024805456,16.2286260119727
2027,41,97.8420606598984,20.2488757902252
2027,42,62.8473623187041,18.4631916617741
2027,43,63.1131896688355,21.3642388223058
2027,44,54.4816817414687,18.526039257595
2027,45,62.1446454178076,27.2619751906265
2027,48,55.1121167344322,24.8540342505318
2027,49,49.5231118833556,13.3980034248306
2027,51,79.2999262229421,62.7421797870772
2027,53,21.9161092941186,44.0395566821819
2027,56,38.2657294019718,16.199239566413
2027,57,36.465306253224,12.0125549777339
2027,58,52.6331131200322,38.286459973342
2027,59,49.7666539040378,16.084577421345
2027,62,40.5302325753192,13.4499623676078
2027,68,39.7115629393113,17.1522940930848
2027,70,97.850122857484,32.4742143306811
2027,73,29.9301077996209,35.0409263308051
2027,76,68.5194241590433,21.0146431144607
2027,77,57.4046011450571,29.4783702265826
2027,78,54.3586288476746,23.6029536799026
2027,79,50.3751572056278,11.9658695104241
2027,80,35.1464769160052,50.6938062235439
2027,81,31.8118027520011,23.9321208968018
2027,82,35.0494704581883,14.6144255567862
2027,87,72.6928045850094,17.3119946738089
2027,89,98.5568491853938,46.7804605872916
2027,90,92.9572435095416,21.5946104800985
2027,92,72.8654919846244,19.3234522636643
2027,93,45.5456665146327,53.7846186774001
2027,95,55.1567363643301,26.9847050730268
2027,99,27.7811856948696,15.4003689437601
2027,100,28.8558303912159,70.443392807441
2028,3,14.3164392567905,10.9723625677033
2028,4,99.3342673712649,24.6370983505298
2028,7,14.9505045928804,37.6066636976085
2028,11,19.4145407498613,31.5904632616665
2028,12,43.6351438559919,20.8027076048172
