"Year","iteration","biomass","recruits","mdm"
1980,3,38015.4963009997,429.883516770273,101.802313073977
1980,4,28170.5132656217,430.164328205795,92.2506794295805
1980,7,68653.3413849831,860.479016869266,94.7070698861675
1980,11,31475.7846405523,487.758631846535,92.0605185389429
1980,12,38399.9066134734,563.971089180935,92.0605554647208
1980,13,19810.9670058478,353.748840552882,92.7851988216914
1980,14,57494.8543027292,717.999891490512,94.3046043195755
1980,15,39752.6579684291,566.172178699869,92.3006566561268
1980,16,45030.4562728629,494.379864598146,98.6047068426092
1980,18,59945.8065671254,673.401576867935,94.7557957324107
1980,20,35462.0312900769,512.644749960701,93.0884693941987
1980,22,39178.5794221947,567.297009364876,93.0022866066499
1980,24,27901.2391988018,449.608896112557,91.9848794450758
1980,25,53971.0697802018,666.984565325863,97.9171673009241
1980,26,61351.1933713866,755.618403316932,94.7347729330639
1980,27,32465.8771973565,472.729579553266,92.8274065008893
1980,31,41102.7212068115,611.64158120096,91.8034095349717
1980,32,45366.7569149352,556.391607540184,96.6068999627137
1980,33,35175.2489423077,506.86492787399,93.0795207231593
1980,35,38076.3676364662,397.87969774379,102.114720157626
1980,36,34208.3354925838,525.997566804391,92.6408973138182
1980,37,38898.0029937186,578.627648718328,91.6823756608227
1980,38,23724.4376029714,383.008232147609,92.9322297348398
1980,40,29054.4538147019,441.107712690318,92.82830211882
1980,41,30957.3359220637,469.424401257919,92.7285579046346
1980,42,35117.0441613119,527.257612124832,92.068463063078
1980,43,44411.81524189,630.513086075297,92.058463647483
1980,44,43984.1008103236,620.890127759561,92.3050268820471
1980,45,32669.6713978482,488.823122358371,92.8025908800215
1980,48,32613.0809845852,490.031911748336,92.7938059124514
1980,49,45424.4954792982,619.334348343281,92.8995056251525
1980,51,38135.4197708796,555.67752461174,92.4001162257333
1980,53,27956.2645501084,459.204652837825,91.5387981199657
1980,56,39342.1692510697,488.526342407319,96.9220334634927
1980,57,52293.1331013092,750.469037682191,91.6336102234129
1980,58,30932.5152565076,461.389096764676,92.7374218888523
1980,59,33759.4423075108,504.877436456525,92.5403526998113
1980,62,30150.0325662514,451.842301597527,93.0832927237182
1980,68,33562.6630403265,489.242842580939,92.5005685027369
1980,70,34098.6783152021,492.269877712417,93.1261488902859
1980,73,39292.2707283551,563.115715937556,92.8276347212297
1980,76,32391.2383414838,477.131833438214,92.6848075193196
1980,77,34321.69772074,511.672064497749,92.0822463342445
1980,78,33992.5435358453,497.875575698456,92.8876028632121
1980,79,31319.8962574306,476.981742150799,92.4430217463938
1980,80,37513.5018775183,551.298858056677,92.3007293790499
1980,81,43370.3211568221,640.473155067981,92.2609218589549
1980,82,46063.716343339,649.082242068396,92.227481855224
1980,87,44944.7569777509,630.243352958664,92.3129625339192
1980,89,44126.8597498372,619.030974482824,92.4574209384349
1980,90,35808.8358849455,529.274216892172,91.9123637285804
1980,92,47327.5190420502,666.166255582775,92.3302416421842
1980,93,42099.0561283242,607.505132872967,92.6037455915195
1980,95,31634.5095861947,480.075035303067,91.9617663471667
1980,99,49582.5448912388,625.536911949744,95.4247890181633
1980,100,40179.0186169908,504.980415468931,92.7019469647149
1981,3,50169.8866752051,695.957209911936,123.794017578974
1981,4,43756.988750144,635.612149132812,135.100531416937
1981,7,85820.4746319721,1159.69803754748,116.816804675385
1981,11,48075.6881292152,706.94528689101,132.121147897636
1981,12,56916.8157704486,844.105533120692,131.595937243914
1981,13,32825.2508528214,479.322538697907,136.101428570234
1981,14,74449.0985675043,1014.08827291678,119.121901616392
