"Year","iteration","biomass","recruits","mdm"
1980,2,39309.4844327142,552.216571155138,92.7347414764578
1980,3,52748.3317396916,609.054406230524,95.8884038518291
1980,5,50367.763505232,699.494852332635,92.4323999220292
1980,6,47296.27404211,551.170548532658,97.5887644675865
1980,7,26283.6620986776,411.522631421851,92.61965564997
1980,10,35134.8185084108,509.069243274857,92.178923766344
1980,11,41918.4076174192,623.374511464254,91.6843066435011
1980,13,45130.5545600445,516.447357391452,97.0559741287715
1980,15,34655.2991851542,513.638721225381,92.3409851382531
1980,17,29289.0980602279,891.401332833872,90.7794120693593
1980,19,54780.6756930065,697.30778510976,94.2639608443636
1980,20,28399.0964526563,448.180971406602,92.4977873348782
1980,23,31309.8179233481,464.821908169237,92.6071316740392
1980,26,25951.4414061679,404.608213159811,92.8415614070095
1980,27,45949.2675842299,538.085388789289,96.6096569768842
1980,29,36240.2282106558,515.572246324285,92.7753425007455
1980,30,68760.7151844169,827.928908930262,94.7668252483558
1980,33,58088.1583348928,688.060849695356,93.1900007759311
1980,34,35301.9688286145,525.684215096526,92.3973937414203
1980,40,50146.6439422605,728.531457861783,92.2847236067862
1980,43,38286.7321135273,561.017513987304,92.8422732636015
1980,45,28387.7822184285,442.951574457262,92.5077789355171
1980,50,32519.1656752105,468.1959324756,92.2879370860108
1980,52,30943.7814920472,461.421771729946,92.6147017662132
1980,54,53116.8703932862,747.317543364442,92.5972289356452
1980,56,65192.4685903929,750.717684904459,94.8466288659634
1980,60,33423.4665477406,494.224585414459,92.8046752072597
1980,61,25528.4158474726,400.592929810025,93.0399490119193
1980,62,34875.8590958933,489.957401526158,92.91606461488
1980,65,41983.5767476284,591.54331281899,92.8198255222752
1980,66,29517.3055039288,463.27493775134,92.6892235323326
1980,67,45488.8891160482,516.238370090381,99.2924090863248
1980,68,62861.535720612,773.261671761421,94.6084559234161
1980,70,27035.8900463105,433.637321713583,91.8253742903719
1980,71,31237.7448493945,475.858676619427,92.4027335699971
1980,72,31451.3095642745,480.492286907719,92.5277193076698
1980,73,27755.5786999733,423.144513620309,93.011571142257
1980,75,33641.6382758995,502.804359160014,92.8181341142643
1980,76,31826.4468841418,475.961734556772,92.293066976184
1980,77,30966.2192256449,456.306576883027,92.5199106265641
1980,81,25633.94010327,414.089407865157,92.8382794861616
1980,85,56292.8529277955,652.444143845274,94.7911834433141
1980,87,32212.2950563993,492.106094754273,92.1797593746018
1980,88,60941.4590858849,766.442278410361,95.7295349639572
1980,89,31337.3031455145,468.745458043973,92.5865927581705
1980,91,33106.5670379494,498.135360138925,92.1985531156341
1980,92,25239.2810570444,404.004108845746,92.7222530602747
1980,94,39036.6708045904,493.04813369904,98.4739094805849
1980,95,45713.5956614118,564.168046996976,93.9940895628608
1980,99,38947.2011785193,555.898460263261,92.4764243300321
1980,100,51243.090613951,622.719504485526,97.2677380997275
1981,2,58710.8762865364,885.734135561757,134.41166193554
