"Years","Median Age 3 (in millions)","Lower 95th Age 3 (in millions)","Upper 95th Age 3 (in millions)","Median Pre-fishery biomass (in 1000s metric tons)","Lower 95th Biomass (in 1000s metric tons)","Upper 95th Biomass (in 1000s metric tons)","Catch (metric tons)","Median Exploitation rate","Lower 95th ER","Upper 95th ER","Probability B<20K"
1980,224.14,150.03,324.49,66.8647,54.68223,83.26014,7143.76,0.11,0.09,0.13,0
1981,115.55,76.28,170.21,68.17755,56.03178,85.04152,14140.11,0.21,0.17,0.25,0
1982,164.72,120.3,222.53,58.8471,46.47085,76.01414,8097.08,0.14,0.11,0.17,0
1983,489.18,390.7,619.31,78.86445,62.29072,101.06117,3069.28,0.04,0.03,0.05,0
1984,390.02,307.98,497.73,92.74155,73.92522,117.44265,6956.55,0.08,0.06,0.09,0
1985,111.57,82.95,150.37,105.6825,84.3414,133.51315,8172.3,0.08,0.06,0.1,0
1986,142.36,106.5,190.98,91.6813,73.15912,116.12772,11360.92,0.12,0.1,0.16,0
1987,1302.07,1055.65,1630,126.208,100.5193,159.79403,6748.05,0.05,0.04,0.07,0
1988,138.86,103.25,189.49,142.325,113.9017,179.6353,10039.84,0.07,0.06,0.09,0
1989,24.99,18.11,39.3,132.8595,105.49995,168.7671,500.3,0,0,0,0
1990,27.43,15.24,47.07,112.8775,90.07855,142.90465,10461.09,0.09,0.07,0.12,0
1991,671.29,504.7,922.51,106.12,83.42177,136.77837,16510.43,0.16,0.12,0.2,0
1992,29.6,15.24,59.35,92.60535,69.6413,124.02543,20838.19,0.23,0.17,0.3,0
1993,70.82,42.37,116.09,46.36505,35.40288,60.98095,2631.78,0.06,0.04,0.07,0
1994,12.85,5.78,26.15,23.09985,17.4577,31.1569,0,0,0,0,0.16
1995,67.05,49.82,91.07,22.494,17.67396,29.25851,0,0,0,0,0.17
1996,39.55,28.46,55.34,22.41915,18.06676,28.53174,511.94,0.02,0.02,0.03,0.15
1997,83.48,61.91,114.94,24.6121,19.88889,31.20758,4917.92,0.2,0.16,0.25,0.03
1998,66.05,46.52,95.44,19.71415,15.23817,26.0947,4150.79,0.21,0.16,0.27,0.54
1999,6.12,2.58,12.33,14.8355,10.70095,20.7669,50.16,0,0,0,0.96
2000,31.47,19.27,50.07,13.9949,10.1704,19.49032,0,0,0,0,0.98
2001,9.93,4.26,20.07,13.40375,9.73968,18.69476,0,0,0,0,0.99
2002,235.59,165.13,338.75,17.86855,13.1257,24.84392,0,0,0,0,0.75
2003,49.14,30.23,80.02,25.73795,18.76314,35.69435,0,0,0,0,0.06
2004,26.27,13.76,46.62,25.86175,18.74272,36.04459,0,0,0,0,0.05
2005,35.72,20.28,61.58,20.9932,15.13768,29.54819,0,0,0,0,0.38
2006,25.79,14.22,45.18,19.1442,13.67815,27.23834,0,0,0,0,0.6
2007,133.49,92.56,194.29,22.2533,15.90411,31.76791,0,0,0,0,0.27
2008,108.36,72.79,159.5,26.53275,19.39388,37.08017,0,0,0,0,0.04
2009,42.48,25.52,68.81,24.37885,17.87345,33.89978,0,0,0,0,0.11
2010,54.26,34.16,84.47,23.0727,16.85726,31.92145,0,0,0,0,0.19
2011,13.27,6.55,24.99,19.0119,13.86078,26.29433,0,0,0,0,0.62
2012,39.68,25.06,62.69,16.7633,12.20155,23.09061,0,0,0,0,0.86
2013,12.08,5.83,22.77,13.68355,9.81914,19.02881,0,0,0,0,0.99
2014,6.43,2.81,12.66,10.5866,7.60396,14.77447,0,0,0,0,1
2015,16.47,9.41,27.79,7.30432,5.16828,10.3779,0,0,0,0,1
2016,18.1,10.41,30.68,5.79131,4.10179,8.23407,0,0,0,0,1
2017,37.01,23,59.29,5.34123,3.72585,7.67742,0,0,0,0,1
2018,17.33,8.56,32.71,5.94454,4.12697,8.64538,0,0,0,0,1
2019,200.49,131.27,309.68,11.8823,8.23655,17.38189,0,0,0,0,1
2020,41.22,22.23,75.9,15.96825,10.90224,23.70804,0,0,0,0,0.86
2021,30.44,14.03,62.99,19.1675,13.04694,28.65533,0,0,0,0,0.58
2022,75.1,35.48,152.9,21.90545,14.74487,33.24828,0,0,0,0,0.33
2023,150.43,60.96,364.13,28.5537,18.83414,45.06787,0,0,0,0,0.05
