"Btilde_ratio","Btilde_prob","mean_ghl","mean_yield_difference","mean_lost_yield","num_KI_fisheries"
0.136847468834303,0,1207.6726781154,6871.26432652746,6871.26432652746,1
0.17205203510411,0,755.092556309808,5753.8115681814,5753.8115681814,1
0.139286255956571,0,77.6763148501888,9045.42160981122,9045.42160981122,3
0.193471778441155,0,368.22032397572,9530.37108655871,9530.37108655871,1
0.298523696902339,0,735.79962252513,9100.35564018946,9100.35564018946,2
0.180081237093011,0.0307142857142857,2659.74578318253,9829.23955084129,9829.23955084129,1
0.15295671328984,0,1428.24681868515,6240.12234955286,6240.12234955286,1
0.421289442907457,0,5527.03795839916,10252.4116841736,10252.4116841736,3
0.251716030530403,0,1117.87448319318,13055.1584973632,13055.1584973632,5
0.215127690735656,0,2678.5197078231,17845.343006821,17845.343006821,8
0.134401962267668,0,1428.16066275245,5220.55397537948,5220.55397537948,1
0.554228052725186,0,5178.0913537291,18177.5391907527,18177.5391907527,6
0.396845674249257,0,4805.34832086735,26747.5667413778,26747.5667413778,6
0.366660735768995,0,76.6786895875971,5625.54541661491,5625.54541661491,1
0.11631573883706,0,363.918661429202,10792.518699789,10792.518699789,1
0.242976583478252,0,2240.24527987626,9813.28341926126,9813.28341926126,2
0.438553350655002,0,2895.12071403781,10993.801681249,10993.801681249,4
0.438535716370697,0,413.026000373603,1830.05058317501,2673.76177910776,1
0.195793541685175,0,354.849807266564,4351.28269125469,4351.28269125469,1
0.182660109832197,0,4554.65411034488,25027.6964060533,25027.6964060533,3
0.0852782789976649,0,373.771036692393,3705.3139210047,3705.3139210047,0
0.293713303505839,0.0228571428571429,1741.8874655734,13160.0190251168,13160.0190251168,4
0.363545982697978,0,2511.0464477786,10621.9648991785,10621.9648991785,1
0.215396311459575,0,2612.34601212389,8852.47806823741,8852.47806823741,1
0.261478932252095,0,76.6786895875971,7256.7765665241,7256.7765665241,1
0.166381012824008,0,1057.83106661432,6248.12296497591,6248.12296497591,1
0.140063151252886,0,874.282706897074,6573.54953114003,6573.54953114003,2
0.173949102548276,0,76.6786895875971,7463.46093200931,7463.46093200931,0
0.21973805709021,0,230.792307354593,5337.70366949532,5337.70366949532,1
0.662983665984712,0,5541.7758056236,12594.571623675,12594.571623675,7
0.160550739356498,0,1506.87319331537,6207.75981620448,6207.75981620448,1
0.191720897806878,0,948.497413327587,3584.22962845387,3584.22962845387,1
0.173434565681967,0,1423.28363249179,18224.6259309867,18224.6259309867,7
0.332719458257977,0,76.6786895875971,3105.61395299113,3105.61395299113,0
0.182429117835663,0,952.059792903781,4085.6100450204,4085.6100450204,1
1.54156807112402,0.345,959.690193565719,8320.30738801968,8320.30738801968,3
0.269181603716808,0,1919.75550678242,11906.2810398849,11906.2810398849,3
0.103898014297202,0,296.242203379795,10358.2396754987,10358.2396754987,1
0.169802632884574,0,393.216893929003,8916.1141104367,8916.1141104367,1
0.457164850705198,0,881.731721833714,3246.2710913946,3246.2710913946,0
0.310182313631264,0,4416.30919870946,13603.1604071605,13603.1604071605,3
0.396064428895887,0,15057.8625174077,-219.444786103848,12821.7403363529,9
0.205067683633244,0,927.441829025454,5755.97774785883,5755.97774785883,1
0.162893573247605,0,76.6786895875971,4039.34039437035,4039.34039437035,0
0.105894955321738,0,1121.34841503626,5527.55773441404,5527.55773441404,1
0.225372515269827,0,1111.65369939532,14398.5150499465,14398.5150499465,4
0.332016443032343,0,2691.96548676052,17057.6633222496,17057.6633222496,3
0.126976330806881,0,1050.92880923834,5764.46084215717,5764.46084215717,1
