"Year","iteration","biomass","recruits","mdm"
1980,1,48531.8217408378,676.271251079945,92.4412786233305
1980,3,67964.1626021693,855.192616481541,94.8282654599766
1980,6,47458.8028920136,686.532029476654,92.0828590444778
1980,8,55046.2097731565,755.932757856093,93.1917230616342
1980,10,68730.9605000698,821.394213915489,95.0228224197796
1980,13,77430.5221677488,1232.35930133657,121.533188669245
1980,14,51588.6438915846,695.479304580332,93.1070570065459
1980,15,56434.6365205109,699.585874921167,93.757841744277
1980,16,57251.3661099001,762.53038827809,93.3594996910342
1980,19,39482.7659656215,565.269549119339,91.9609879744118
1980,22,41835.0778896693,584.129620943224,93.1552241863032
1980,26,63570.1769114602,979.063559380841,90.5060695393123
1980,27,79859.0202234763,1090.41585313279,92.6358104982781
1980,28,59092.8789114857,728.31314817786,92.8329080732581
1980,29,30821.7938158822,482.251782574423,92.5329545444043
1980,31,49505.1000978421,740.594520361559,100.219683107233
1980,34,37800.6026649339,596.752826664361,91.3631039822332
1980,35,45143.5371215471,636.225636159582,91.8507744093605
1980,36,72690.7503801362,899.567113701099,94.681916485392
1980,37,31846.376507656,512.10069322951,91.7357477895243
1980,42,29116.0090289909,458.872653975688,92.1870390217421
1980,47,63808.5709396518,948.42264363974,136.541169173759
1980,52,50563.8462045432,694.566215051714,92.4819211828298
1980,56,33920.5379442047,510.054686537369,92.4718555097451
1980,58,60128.2224891071,760.292147124058,93.2595196422176
1980,59,51606.9648086614,743.045963719725,91.8480124861367
1980,60,30090.631027905,470.819388231231,92.1033214416838
1980,61,46462.7873628802,673.641506126519,92.1017360980226
1980,63,57180.7412078853,825.261090878915,92.2516262619612
1980,64,64483.9621757843,873.816323744133,92.8603454560065
1980,66,56702.9535257734,771.838197023814,92.8700247108072
1980,68,53653.8458870268,721.646084297125,93.1398473235737
1980,69,47115.641647525,656.30379931438,92.610002259556
1980,73,37437.1412748868,541.186120755569,92.6410710864244
1980,74,54812.5304351841,780.823358678317,92.4495689203944
1980,77,180262.293194881,1917.52927778342,113.947497799798
1980,81,33742.202520204,498.580645273358,92.8851127341753
1980,82,31834.6881611018,486.382664543962,92.7737152399624
1980,83,48835.3745384593,727.72447220556,91.6390478756079
1980,84,78519.0473780298,1013.77141824256,92.7555902664468
1980,85,78989.1368409916,943.161574533091,147.212313219317
1980,86,52983.5671938842,773.892000444042,91.1899011999693
1980,87,56888.2001877936,659.213662936048,94.5541151356098
1980,89,47256.1836352015,685.170651079838,92.6768376630431
1980,90,40981.1281414634,597.744910322335,92.4902065476159
1980,96,53347.2964247057,724.455235284485,92.7601060180133
1980,97,42483.1129149195,649.431324492884,92.5456453998322
1980,98,40659.1726653676,563.428584207408,93.1634972152942
1981,1,69846.0320613921,1079.15486884042,131.365600979751
1981,3,84734.6160030445,1145.26099018294,117.065550822875
1981,6,67230.4817576245,1012.54881361043,127.716248911921
1981,8,77701.3073115792,1212.35280721316,129.156398042547
1981,10,85683.5358126277,1140.34713815254,117.809024824422
1981,13,89008.291171048,1408.23852029589,139.303277819961
1981,14,74526.7042258567,1171.97778216744,132.68094364705
1981,15,73238.7699193201,995.936257581442,119.994619711806
