"Year","iteration","mdm","KI_mdm"
2025,1,44.8744377790952,36.2398981340946
2025,3,44.9839337951878,47.594761994475
2025,4,46.441740277255,36.9419189589775
2025,5,38.1494884541082,12.2262703308699
2025,6,38.000008676168,50.7047103214501
2025,7,26.6870935863593,29.6081142237646
2025,9,36.166173443923,27.6045008051991
2025,10,33.398716937509,25.8086374706999
2025,12,39.6929485067845,59.9288024347248
2025,13,50.2621515726745,22.4237648188835
2025,16,52.3742790654799,32.8741908908804
2025,18,39.2585378618375,50.6844837012947
2025,20,48.2724071778347,49.8071388450691
2025,22,30.8495295609007,20.4541019193797
2025,23,44.6968499667699,26.8964588894131
2025,24,36.6988664237628,35.4291098396125
2025,25,41.6778807590553,24.2580323132776
2025,26,43.8961812781732,34.3348568492548
2025,28,51.9472102469204,53.2227442073923
2025,29,39.4294880337431,34.248822679024
2025,30,44.4510829912833,55.0517353793788
2025,31,33.023639931011,46.4451275950389
2025,32,37.2848530930481,29.7019737669652
2025,34,37.8362862198346,51.0442413404091
2025,35,48.1907868676781,44.2418056954819
2025,40,49.6747394316942,18.105914328021
2025,41,41.3348337935602,54.9651743639838
2025,42,47.3194687066429,42.1657015631096
2025,48,38.380375388765,56.1544218382924
2025,49,38.812542323248,38.2296113929682
2025,50,42.0807848471339,31.2526498702768
2025,55,47.6201713664047,24.524693907797
2025,56,38.0546746709207,18.0199131405827
2025,59,58.8477647307685,91.244841161605
2025,60,93.434416918644,12.1937653332831
2025,61,54.8407205765653,25.8212582967064
2025,62,50.5150174570459,37.5813478642216
2025,64,42.9380235738338,39.5110742496112
2025,66,42.3093235263913,39.4413832347464
2025,67,38.9248652102698,46.4208102584414
2025,68,45.6455720626861,53.6976752563216
2025,70,35.6476232224794,23.2478283019505
2025,72,61.9917591135557,39.5959792546166
2025,73,36.8509951978663,25.7760176822708
2025,74,58.8465373845106,50.0001063943744
2025,75,34.1558005816337,36.940978162125
2025,77,32.5149708768253,30.7784352841413
2025,78,45.0920390877479,30.2973909609268
2025,79,45.8983293506617,63.1465290809645
2025,80,37.5070526267211,37.2121143452789
2025,81,44.570865908291,28.9456963187821
2025,82,41.6811398821648,31.502558030465
2025,84,42.6141417049021,34.0312556612156
2025,87,50.9815341822209,27.2519044057285
2025,88,29.7679957224034,62.460667138391
2025,89,50.9115485010518,33.1686764447951
2025,91,45.2146395036633,35.6637034906096
2025,93,26.9327930337487,21.8837463241297
2025,94,48.5781532843403,40.3543744241967
2025,95,44.5503114476198,43.60116533657
2025,96,44.2019609951823,54.4197870266846
2025,97,33.3338252912103,21.151465107464
2026,1,49.4246085209911,34.1404116305291
2026,3,36.6562825922118,41.6939887528529
2026,4,23.8704408881027,12.7639289108335
2026,5,38.6986557677103,11.7884926566361
2026,6,29.9245683012627,18.0463640105451
2026,7,26.2639122990299,14.1500719867007
2026,9,76.5605218578863,24.8730908986564
2026,10,49.9841305944506,20.2730729800918
2026,12,27.6766298529264,23.789009054182
2026,13,27.436165442921,10.7174683862237
2026,16,32.0895773353226,15.4471898192925
2026,18,36.2728753565498,19.8802669212186
2026,20,62.1107968586031,16.4159984834926
2026,22,36.4427001361624,18.0869930920667
2026,23,82.3984311292278,21.5377422934828
2026,24,59.6962723229106,34.573358298172
2026,25,42.8960314100262,19.2057210623561
2026,26,57.9573855096735,22.9964656498018
2026,28,53.9438785847081,15.8913528943565
2026,29,47.8950917276168,32.8648726667247
2026,30,62.7528607274883,41.0656302599254
2026,31,48.975638294707,30.2246675774312
2026,32,54.3805484276357,21.8676082176711
2026,34,28.4245495392864,20.7259591008809
2026,35,33.876516731926,25.774178308735
2026,40,49.9385953266819,12.7970333388425
2026,41,30.6817130481336,22.710059746156
2026,42,42.5947313213483,34.3230100786991
2026,48,31.0952716171946,25.8444895829109
2026,49,41.2860433535004,36.70240902471
2026,50,85.4962001564375,20.2323984635996
2026,55,24.0745383618288,11.9536590127486
2026,56,45.8495982211276,19.0599808359171
2026,59,62.6429245915104,25.1503996377561
2026,60,77.2271473545691,5.76609989380204
2026,61,56.6617078607834,32.3178470786101
2026,62,50.4900996170211,29.1038238405015
2026,64,78.3178430937717,25.3011454240078
2026,66,54.3388265503466,33.9461645628762
2026,67,64.3660570010852,32.9468084958475
2026,68,61.4079713952226,39.026967744011
2026,70,43.4916443240161,19.2084977440497
2026,72,31.3113331611107,17.4453223513807
2026,73,53.756424563249,19.7198533084345
2026,74,80.7391006565736,10.5936819871713
2026,75,60.1350756119838,30.8306761341247
2026,77,31.9449565396439,25.4238614118839
2026,78,24.9709685777301,15.2298257760087
2026,79,34.5921507391732,24.0887339474047
2026,80,59.0348014089113,26.8974739123796
2026,81,71.819956689244,21.3184199543229
2026,82,46.3174611128,27.7092864920872
2026,84,74.0786617276716,25.0478131745185
2026,87,24.0409171982099,10.8615605076533
2026,88,22.9317568234973,22.8187339049947
2026,89,20.368349126325,15.6326596065385
2026,91,48.4177316391725,27.1260332283075
2026,93,50.2825516362911,15.0486830277657
2026,94,38.9333253338588,20.1572814988694
2026,95,36.9736373202851,16.5170519796133
2026,96,59.6286358733119,49.8879727908249
2026,97,54.5068087657613,17.8647369160961
2027,1,51.6661845620997,17.4571989603464
2027,3,37.7472635904256,33.5734209365765
2027,4,79.7181450343611,13.9779001709456
2027,5,39.6026629619175,6.99474220210997
2027,6,59.9185347009836,17.9185849267368
2027,7,60.3481516446341,14.7310288504974
2027,9,56.7570523282884,18.4897070396285
2027,10,20.209854855398,10.7046290651693
2027,12,56.5321409769771,19.7190497877238
2027,13,35.8785622896773,24.0417665970522
2027,16,45.2073831736403,35.795079847522
2027,18,66.6370453788198,15.9887654441182
2027,20,67.3002062185507,19.8776734551545
2027,22,42.7665009293633,7.67926630965601
2027,23,40.987147724111,10.6724828836725
2027,24,18.3864245181787,23.3387696915263
2027,25,46.4175593491021,11.6130816913033
2027,26,38.4858186550814,19.5152111564072
2027,28,61.0658829575165,18.4258581636107
2027,29,55.8500568028842,19.4164326416082
2027,30,31.1670797261305,25.3844584692948
2027,31,40.7178697903902,15.2605832136456
2027,32,21.8725567979165,12.4908820376067
2027,34,56.5068861116936,27.7528334648305
2027,35,27.767136372388,27.3521519142347
2027,40,56.0444589373956,6.61638775915172
2027,41,53.5435005084641,23.3771693993063
2027,42,81.4007688105339,17.0582330621937
2027,48,31.9779465911109,197.438085586178
2027,49,48.2462051183076,21.0573712462854
