"Years","Median Age 3 (in millions)","Lower 95th Age 3 (in millions)","Upper 95th Age 3 (in millions)","Median Pre-fishery biomass (in 1000s metric tons)","Lower 95th Biomass (in 1000s metric tons)","Upper 95th Biomass (in 1000s metric tons)","Catch (metric tons)","Median Exploitation rate","Lower 95th ER","Upper 95th ER","Probability B<20K"
1980,224.24,149.02,324.11,66.38,54.49,82.61,7143.76,0.11,0.09,0.13,0
1981,114.85,76.16,171.83,67.89,55.76,84.78,14140.11,0.21,0.17,0.25,0
1982,164.16,119.9,222.29,58.5,46.2,75.84,8097.08,0.14,0.11,0.18,0
1983,488.76,392.07,618.45,78.36,61.99,101,3069.28,0.04,0.03,0.05,0
1984,390.72,311.47,500.25,92.31,73.74,117.45,6956.55,0.08,0.06,0.09,0
1985,111.68,83.03,150.34,105.48,84.31,133.55,8172.3,0.08,0.06,0.1,0
1986,142.27,108.14,188.55,91.56,73.23,115.93,11360.92,0.12,0.1,0.16,0
1987,1305.11,1060.34,1634.33,125.73,100.21,158.87,6748.05,0.05,0.04,0.07,0
1988,139.56,104.58,188.29,142.06,113.77,178.58,10039.84,0.07,0.06,0.09,0
1989,25.08,18.21,39.18,132.95,106.04,168.02,500.3,0,0,0,0
1990,27.46,15.38,47.51,113.02,90.54,142.87,10461.09,0.09,0.07,0.12,0
1991,676.67,511.31,934.41,106.28,83.56,136.73,16510.43,0.16,0.12,0.2,0
1992,29.96,15.36,62.09,92.59,70.27,125.41,20838.19,0.23,0.17,0.3,0
1993,71.51,43.21,118.27,46.68,35.63,60.7,2631.78,0.06,0.04,0.07,0
1994,12.93,5.99,26.43,23.22,17.45,30.96,0,0,0,0,0.15
1995,67.42,50.42,90.88,22.47,17.69,29.25,0,0,0,0,0.17
1996,39.85,29.24,54.87,22.4,18.13,28.4,511.94,0.02,0.02,0.03,0.15
1997,83.84,62.35,114.14,24.62,20.01,31.03,4917.92,0.2,0.16,0.25,0.02
1998,66.76,46.88,94.61,19.75,15.34,25.78,4150.79,0.21,0.16,0.27,0.53
1999,6.13,2.66,12.32,14.91,10.87,20.48,50.16,0,0,0,0.96
2000,31.54,19.47,49.69,14.04,10.34,19.17,0,0,0,0,0.99
2001,9.96,4.29,20.7,13.43,9.87,18.44,0,0,0,0,0.99
2002,236,166.93,343.85,17.86,13.23,24.46,0,0,0,0,0.76
2003,49.32,29.81,80.33,25.69,18.81,35.91,0,0,0,0,0.06
2004,25.89,13.71,46.71,25.84,18.82,36.4,0,0,0,0,0.05
2005,35.21,19.92,61.78,20.96,15.19,29.72,0,0,0,0,0.39
2006,25.55,14.07,44.54,19.03,13.76,27.22,0,0,0,0,0.6
2007,132.78,90.44,197.84,22.07,15.81,31.66,0,0,0,0,0.28
2008,107.31,72.82,158.2,26.46,19.28,37.02,0,0,0,0,0.04
2009,42.35,25.01,69.21,24.35,17.74,33.79,0,0,0,0,0.11
2010,53.81,33.87,84.51,23.05,16.81,32,0,0,0,0,0.19
2011,13.28,6.71,24.39,19.09,13.86,26.62,0,0,0,0,0.61
2012,39.77,25.44,61.55,16.83,12.27,23.44,0,0,0,0,0.85
2013,12.12,6.09,22.28,13.83,10.01,19.22,0,0,0,0,0.98
2014,6.05,2.67,12.8,10.73,7.72,14.96,0,0,0,0,1
2015,16.64,9.39,28.5,7.43,5.29,10.47,0,0,0,0,1
2016,19.13,10.87,32.26,5.92,4.21,8.35,0,0,0,0,1
2017,40.58,25.27,65.33,5.6,3.92,8.02,0,0,0,0,1
2018,19.2,9.35,37.34,6.35,4.38,9.2,0,0,0,0,1
2019,226.43,139.47,371.14,13.09,8.93,19.76,0,0,0,0,0.98
2020,40.32,17.53,86.9,17.68,11.62,27.56,0,0,0,0,0.71
2021,38.56,13.38,104.53,21.44,13.76,34.38,0,0,0,0,0.37
