19505.9,52652.5,45586,13688.7,17459.2,142463,16168.2,3088.06,3987.54,74699.5,3190.58,8743.04,1741.33,8622.3,6088.9,13489.9,9505.21,1327.85,3763.18,1106.84,31142.8,4856.36,3439.46,3937.07,2650.17,19112.7,15136.7,3617.37,4234.5,2063,4507.29,947.853,746.795,2629.47,2766.52,6196.34,2611.3,26544.8,6831.8,2525.24,11333.1,59518.2,17070.5
30401.7,101699,72118.9,20383,24290.2,256790,25732.6,4350.41,3988.37,127915,6451.03,13913.1,2574.01,12028,6035.04,12201.9,9818.9,698.776,6267.22,1981.99,40900.9,11518.9,4528.18,5942.06,4690.26,19229.6,15489.1,9209.42,11634.2,1671.6,6174.7,2790.14,801.947,1506.65,2170.24,3724.93,1937.22,32232.7,4837.81,8297.54,5048.16,6581.15,108753
16111.7,42167.3,37923.2,11004.5,14507.5,121270,14294.1,2778.3,3202.1,65407.3,2116.75,5553.77,969.85,6686.6,4679.76,9953.05,7581.56,584.346,2912.77,979.243,24920.7,3897.63,2571.31,3896.4,2605.21,15664.8,12433.2,3247.47,4052.89,1738.33,4186.66,745.474,688.442,1915.06,2706.36,6118,2915.65,26338.4,6951.91,2265.84,11422.9,17935.4,18317.3
26157.8,82967.4,60959.7,17971.4,20047.2,207059,20263.6,3220.87,3719.11,107149,7670.23,14068.9,2332.11,10748.6,5166.97,10594.4,8839.72,1041.89,5468.51,1077.14,33954.5,7779.55,4345.45,4737.57,4118.15,16707.5,12330.5,7406.23,10090.9,1394.29,5301.64,2432.73,928.414,2031.61,1574.08,3098.12,1676.79,26771.1,4306.43,3755.7,2847.79,7600.26,8488.54
27864.4,85326,64654.6,19090.6,20151.9,194369,18271.6,2792.04,3698.65,90230.4,4978.94,11022.4,2198.42,10212.7,4760.83,10174.4,7290.59,745.65,4980.82,754.854,31094.3,6655.66,3995.57,4120.11,3362.79,14469.8,11479.4,7193.81,6296.96,1588.37,6239.32,2138.78,913.293,2041.34,1576.32,3165.81,1533.89,23092.8,4284.32,4098.02,2859.17,7887.43,8202.61
13419.4,51725.2,38331.9,10130.4,11011.6,107909,10661.1,2050.81,2414.78,50689.9,1614.13,5977.32,1034.08,5727.86,3029.33,7255.61,5182.42,435.135,2875.27,516.922,22892.7,4038.99,2609.08,2602.01,1618.74,9574.35,8414.24,3971.67,4225.45,1531.53,2971.34,984.588,523.523,1235.38,1200.7,3595.27,2486.37,21510.6,2680.67,4059.15,3516.62,3753.13,7719.3
21797.1,75152.7,67132.9,19552.6,26613.2,255917,29550.7,4927.81,4981.82,121918,7606.42,13216.6,2875.36,13454.4,7938.54,15782,12596.9,1435.57,4979.16,2730.6,35795.3,7676.63,3599.72,7645.06,5826.04,27974.4,21874.3,7511,9589.82,1715.76,7259.01,2492.86,985.811,3522.2,3753.36,6720.76,1798.79,34872.6,8271.55,3889.55,5324.18,28382.6,12234.5
15959.4,38601.8,27523.6,7885.33,9345.8,82452.5,8069.09,1326.68,1740.43,53104,2208.68,5803.78,755.457,3889.33,2255.25,4957.58,3809.81,290.862,2022,415.563,17553,3571.39,2087.51,1747.34,1137.26,6669.92,5669.72,2647.92,3069.48,1138.49,2322.7,704.372,550.714,953.579,1015.62,2542.74,1808.66,16209.4,2651.11,3212.08,6407.69,5364.76,20313.4
16508.5,60282.2,52767.6,15935.3,18081.4,182309,23863.8,3271.67,5915.62,99597.2,6231.26,8822.36,917.943,8369.59,5427.57,12930,9666.36,549.983,5526.91,1617.94,29718.5,5405.82,2436.16,6140.88,2025.56,18752.1,17723.7,6533.55,7010.76,1499.25,5737.61,1830.62,831.58,3132.04,3711.63,5239.2,2689.35,34802.5,6123.65,4461.69,6034.06,43703.2,6077.58
34664.2,134608,119698,29888.6,45007.1,405740,39927.4,7673.06,10503.2,218283,12627.1,17916.7,3581.79,16420.3,11288.3,29831.9,20720.7,2150.34,10341.1,3533.01,67726,11622.8,6590.61,9162.06,4760.42,38145.7,36491.7,12464.4,18943.5,3897.37,12518.1,2925.82,1206.74,4482.99,7402.82,14172.6,4697.33,73894.3,23480.1,7976.58,18125.6,4204.25,12344.3
