60875.8,63022.5,55744.5,72795.6,83674,94469.7,82706.5,115469,127946,120784,103736,95901.1,80332.5,42451.4,21609.8,20657,19940.9,21114.3,16881.6,12344.3,11321.9,10565.7,14542.9,21245.3,22179.6,18076.9,15913.3,18093.8,20510.5,18961.6,17512.9,14083.3,12087.4,9446.72,7196.3,4821.92,3852.66,3623.2,4102.49,9761.04,13420.2,16181.5,18310.3
46848.9,47540.2,40101,54795.5,65614.2,75319.3,65383.6,88265.3,100254,93564.7,78658.2,73253.7,64213.8,32151.2,14794.7,15338.4,15904.8,18144.2,14599.2,11321.3,10963.5,10680.9,13668,19084.9,18501.6,14985,14168.1,16780.2,20900.9,19179,18741.5,15904.1,14419.1,12295,9750.18,6929.11,5466.88,4944.78,5416.67,10102.3,13421.7,16244,18940.5
56598.6,57190.5,48570.4,63758.4,75202,85086.4,72799.1,97990.6,108286,99029.1,83198.7,74060.1,60771.4,30723.2,16183.5,15311,15699.6,17564.3,13403.4,9814.28,9748.79,9847.94,12821.1,17715.8,17491.8,14734.2,14506.4,17030.4,19397.3,17168.6,16302.6,13499.8,12342.9,10463.9,8228.75,5749.26,4435.61,3847.8,4021.56,8743.53,12451.9,15757.1,18537.4
52405,51183.3,44671.1,60365.8,71055.9,81515.3,70449.6,97466.5,114464,105759,90315.5,86038.8,77729.7,44298.8,24070.2,22624,22186.2,23681.5,19040.8,14651.6,13201.1,12324.3,16072.7,24194.3,24134.6,18970.5,16280.7,18641.5,23379.6,21932.1,20402.6,16776.8,14393.4,11764.9,9050.2,6083.46,4689.53,4625.18,5700.25,12808.4,17921.9,20347.9,23374.4
50717.8,52997.4,45961.9,64457.7,76686.7,87262.5,76487.1,105416,117715,107421,90152.1,83117.4,71404.7,31522.7,14547.1,14118.3,14584.1,16890.7,13649.4,10136.8,10069.2,10158.3,13253.7,18342.5,17806.2,14981.3,14525.3,16994.2,19952.4,17359.8,16503.3,13868,12810.6,11159,8629.8,6124.33,4972.42,4363.31,4381.83,8235.71,11566.9,14767.9,17507.3
47618.1,50264,42832.6,59764.8,70245.4,80645.6,71001.4,96681.4,106685,103787,88035.4,79518.2,65516,36774.6,19809.6,19389,18743.6,20420.4,16213.9,11962.5,10952.1,10048.9,13831.5,19521.9,20048,15637.9,13282.4,15098.1,18229.5,16961.9,16830.2,14391.8,13299.7,11337.5,8910.75,6210.76,4699.09,4010.31,4196.77,8513.64,11410,15093,18003.9
51897.7,52328.6,46280.6,61972.1,72244.6,81511,70676.3,97020.9,107363,97166.3,81985.3,75690.7,64679.4,34778.7,18712.1,17931.6,17982.5,19876.3,16438.9,12643.9,11898.5,11577.5,13803,18998.2,18932.4,15792.2,15568.7,19131,23540.3,22347.9,20774.6,16815.3,14527.9,11583.6,8941.6,6118.19,4984.53,4784.83,5319.45,11210.7,14716.6,16646.9,19457.6
68113.8,65580.5,54677.2,75106.3,89804.4,101514,86774.8,119392,136425,124948,106085,99327.6,86197.5,40326.7,18388.6,18044.6,18338.9,20822.8,17608.3,13487.6,12555.6,11447.7,15999.1,24226.6,23812,18379.2,15883.6,17618.5,21004.5,19110,18520,15694.1,13882,11392.4,8802.64,6301.44,5102.44,4745.62,5314.63,9773.27,12590.9,14655.2,17242.9
47974,46901.6,38944.4,52504.5,63577.7,73539.5,64027.1,87817.8,102662,94401.6,80836.7,77875.3,71907.1,33486.1,18409.3,17754.1,17482.9,19193,16692.3,13109.4,11784.3,10545,14461.3,22316.8,22301,17680.9,15610.8,18773.9,24320.6,22286.3,20163.8,16285.2,14115.8,11829.3,9046.64,6381.24,5325.35,5032.4,5344.89,9423.71,12722.6,14595,16881.1
51639.9,53446.6,46862.8,62466.9,72994.8,82900.2,72319,99771.8,106852,99566.1,84239.3,79704.4,67331.2,30949.2,13053.1,13826.9,14543.9,16709.4,13157.2,9632.96,9816.68,9940.67,14227.5,19813.4,20081.8,16774.2,15753.3,17277.5,18344.1,16703.6,17321.9,14874.9,13269.3,10235.2,8009.62,5455.74,4157.38,3391.26,3753.78,9180.41,12124,14943.7,17295.5
52310.7,52914.9,43827.5,58603.9,69172.6,79180.9,69331.7,93675.4,109693,104328,90222.9,85090.7,75862.6,39144.4,23622.8,21614.1,20614.7,22156.1,18084,13533.4,12318.7,11242.9,14231.3,20729.9,20736.2,16453.3,14780.3,18721.6,24784.3,23267.2,20740.1,16605.9,14404.4,12077.2,9269.39,6573.58,5459.95,5671.49,6353.35,11071.2,15029.4,18233.3,21005.3
51442.1,54027.3,46646.8,63465.5,75498.9,86342.3,76258.8,107872,116741,111096,93953.9,88712.6,75651.7,37043.8,17288.2,17625.3,17501,18756.4,14016.7,10005,9693.1,9529.05,13630.4,19257.4,20158.1,16705.2,15479.7,16820.3,17690.3,16138.3,16820.1,14482.8,12987.4,10122.3,7869.82,5322.89,3909.07,2998.81,3394.97,9509.32,12699.4,15878.1,17618.6
