# Numbers-at-age (millions): Median estimate
"# Year","0","1","2","3","4","5","6","7","8","9+"
2009,53.835,10.763,44.111,26.19,57.368,55.55,5.597,4.24,1.968,9.72
2010,12.458,41.927,8.382,34.354,20.278,44.393,34.107,3.389,2.511,4.436
2011,5.703,9.702,32.653,6.528,26.755,15.792,29.777,22.569,2.227,3.382
2012,20.158,4.441,7.556,25.43,5.084,20.836,10.191,19.124,14.268,2.772
2013,22.785,15.699,3.459,5.885,19.805,3.96,12.246,5.885,10.81,8.945
2014,50.368,17.745,12.226,2.694,4.583,15.424,2.66,8.123,3.866,10.506
2015,19.31,39.226,13.82,9.522,2.098,3.569,8.783,1.5,4.499,5.39
2016,309.11,15.038,30.55,10.763,7.416,1.634,2.514,6.136,1.048,5.31
2017,50.018,240.735,11.712,23.792,8.382,5.775,0.84,1.277,3.01,1.998
2018,30.219,38.954,187.485,9.121,18.529,6.528,3.684,0.523,0.789,2.599
2019,47.833,23.534,30.338,146.013,7.104,14.431,4.336,2.403,0.346,1.538
2020,50.732,37.252,18.328,23.627,113.715,5.532,8.89,2.634,1.46,0.762
2021,40.751,39.51,29.012,14.274,18.401,88.562,3.403,5.395,1.59,1.199
2022,492.749,31.737,30.771,22.595,11.117,14.33,68.972,2.65,4.201,1.884

# Numbers-at-age (millions): Upper 95% Credibility Interval
"# Year","0","1","2","3","4","5","6","7","8","9+"
1980,1321.91,371.407,223.68,329.915,680.008,130.889,0,0,0,0
1981,1057.572,1029.505,289.252,174.202,249.384,487.173,87.831,0,0,0
1982,323.429,823.64,801.78,225.27,130.06,164.07,313.371,52.168,0,0
1983,405.343,251.886,641.451,624.427,172.691,91.781,112.33,216.476,33.981,0
1984,3490.804,315.682,196.169,499.563,482.461,129.384,68.534,84,162.224,25.426
1985,400.546,2718.639,245.853,152.777,384.515,354.548,91.79,48.436,60.762,123.321
1986,82.142,311.946,2117.28,191.47,115.4,283.541,258.526,65.779,34.803,84.23
1987,103.148,63.972,242.943,1648.936,144.605,80.611,197.964,181.407,45.461,51.923
1988,1975.844,80.332,49.822,189.205,1267.442,106.478,58.143,145.882,133.78,51.325
1989,130.085,1538.785,62.563,38.801,143.871,940.34,76.972,41.769,106.648,116.832
1990,244.713,101.31,1198.407,48.724,29.397,110.816,730.643,59.635,32.321,128.513
1991,54.834,190.583,78.9,933.323,36.463,20.971,78.468,530.014,43.011,72.66
1992,193.206,42.705,148.426,61.448,690.675,25.244,13.986,52.777,361.927,56.002
1993,117.9,150.469,33.259,115.595,31.637,347.407,9.306,4.296,16.913,144.832
1994,242.37,91.821,117.186,25.902,70.41,18.842,153.639,4.522,1.692,45.018
1995,201.713,188.758,71.51,91.264,15.129,43.12,13.874,112.856,3.379,19.346
1996,26.302,157.094,147.004,55.692,69.305,11.659,30.654,9.952,81.076,9.797
1997,106.582,20.484,122.345,114.487,42.484,52.857,8.295,21.656,7.043,61.096
1998,43.421,83.006,15.953,95.282,84.83,27.742,31.306,4.783,12.831,22.135
1999,720.372,33.816,64.645,12.424,69.997,56.635,15.696,17.907,2.695,13.428
2000,170.422,561.027,26.336,50.346,9.666,54.418,40.643,11.351,13.014,6.935
2001,97.909,132.725,436.928,20.51,39.213,7.508,39.147,29.541,8.246,12.008
2002,128.709,76.251,103.366,340.28,15.662,30.029,5.14,27.304,20.742,10.036
2003,94.425,100.238,59.385,80.502,264.268,12.151,21.317,3.658,19.702,18.592
2004,417.874,73.538,78.066,46.249,62.476,205.633,7.717,14.071,2.44,20.204
2005,340.785,325.441,57.272,60.798,35.909,48.501,145.588,5.535,10.267,9.461
2006,147.841,265.403,253.453,44.603,47.339,27.959,34.334,103.647,3.982,10.872
2007,176.969,115.139,206.697,197.39,34.737,36.868,19.82,24.595,74.781,6.684
