accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lp__
0.999793,0.138029,5,31,0,189.449,-154.818
0.987288,0.158252,5,31,0,181.625,-161.213
0.986413,0.181056,5,31,0,190.387,-163.333
0.979336,0.204778,5,31,0,195.204,-163.423
0.933595,0.215985,5,31,0,197.225,-169.349
0.92797,0.225813,4,15,0,202.9,-172.859
0.97508,0.253352,4,15,0,209.027,-166.275
0.916885,0.260333,4,15,0,206.38,-167.573
0.994062,0.30018,4,15,0,197.982,-163.311
0.937909,0.318077,4,15,0,198.617,-165.709
0.907466,0.322023,4,15,0,197.65,-168.692
0.99441,0.370858,4,15,0,197.738,-155.824
0.857586,0.348587,4,15,0,181.247,-159.661
0.742539,0.276604,4,15,0,186.48,-157.83
0.851113,0.257813,4,15,0,194.568,-163.195
0.956985,0.280787,4,15,0,197.933,-164.624
0.342737,0.124413,4,15,0,200.747,-164.737
0.985885,0.141543,5,31,0,194.61,-165.955
0.986571,0.161082,5,31,0,196.555,-155.699
0.765259,0.132848,5,31,0,188.653,-158.452
0.99187,0.152272,5,31,0,186.725,-162.155
0.98848,0.173562,5,31,0,191.283,-159.181
0.982004,0.195859,5,31,0,187.005,-163.23
0.932404,0.205685,5,31,0,200.498,-163.578
0.940973,0.218618,4,15,0,193.594,-165.315
0.984344,0.247156,4,15,0,198.039,-159.882
0.897886,0.246847,4,15,0,191.716,-160.447
1,0.285091,4,15,0,186.265,-159.916
0.989085,0.323967,4,15,0,183.75,-159.176
0.841263,0.298435,4,15,0,193.104,-159.482
0.965349,0.327705,4,15,0,187.759,-162.293
0.640526,0.227598,4,15,0,204.799,-157.221
1,0.262444,4,15,0,178.474,-154.812
0.935619,0.276315,4,15,0,187.199,-156.408
0.811355,0.244443,4,15,0,188.162,-159.193
0.960475,0.266422,4,15,0,189.011,-163.687
0.217232,0.10315,4,15,0,202.355,-164.129
1,0.118962,5,31,0,193.474,-160.434
0.942362,0.126582,5,31,0,197.431,-165.37
0.985434,0.142909,5,31,0,196.794,-163.459
0.998881,0.164267,5,31,0,193.454,-165.809
0.873375,0.158771,5,31,0,199.661,-161.028
0.911528,0.161734,5,31,0,186.113,-160.751
0.993303,0.184255,5,31,0,187.024,-160.394
0.666641,0.134266,5,31,0,199.492,-168.448
0.966878,0.147524,5,31,0,213.821,-179.768
0.998598,0.169163,5,31,0,214.033,-170.734
0.424036,0.0889027,5,31,0,208.319,-173.939
0.996743,0.101739,6,63,0,199.414,-173.535
1,0.116871,5,31,0,204.101,-171.256
0.991845,0.132702,5,31,0,208.01,-167.507
0.99406,0.15104,5,31,0,201.504,-169.001
0.999447,0.173059,5,31,0,200.078,-165.747
0.81828,0.155491,5,31,0,200.274,-169.338
1,0.178169,5,31,0,195.28,-168.547
0.971238,0.196359,5,31,0,203.391,-169.791
0.99413,0.223,4,15,0,194.245,-159.417
0.989199,0.251462,4,15,0,190.206,-158.512
0.952811,0.270078,4,15,0,184.543,-156.206
0.895465,0.268822,4,15,0,186.111,-160.456
0.801779,0.236486,4,15,0,194.039,-160.851
0.995167,0.268457,4,15,0,190.194,-158.39
0.908403,0.271795,4,15,0,184.255,-159.609
0.956857,0.293191,4,15,0,188.768,-157.128
0.966664,0.320248,4,15,0,188.518,-161.276
0.863241,0.305541,4,15,0,193.095,-165.703
0.932283,0.318984,4,15,0,197.632,-159.192
0.666448,0.235732,4,15,0,188.757,-168.179
0.993341,0.266469,4,15,0,198.479,-167.931
0.943468,0.28225,4,15,0,196.873,-161.405
0.442794,0.156608,4,15,0,188.8,-159.236
0.905954,0.158191,5,31,0,196.646,-166.199
0.981179,0.176008,5,31,0,199.206,-170.127
0.647043,0.127499,5,31,0,201.029,-167.897
0.995617,0.144505,5,31,0,202.873,-168.186
0.999153,0.164437,5,31,0,200.283,-163.532
0.922903,0.16969,5,31,0,197.88,-166.073
0.930093,0.176698,5,31,0,199.34,-171.277
0.954485,0.189753,5,31,0,205.216,-176.174
0.964785,0.206392,5,31,0,220.442,-183.555
0.996695,0.233659,4,15,0,214.515,-166.559
0.973505,0.256768,4,15,0,191.231,-161.786
0.643637,0.186129,4,15,0,200.244,-172.895
1,0.211482,4,15,0,203.465,-165.293
0.988861,0.236834,4,15,0,200.96,-168.836
1,0.268833,4,15,0,200.852,-168.848
0.927777,0.278669,4,15,0,203.912,-165.39
0.936082,0.291832,4,15,0,199.228,-167.549
0.818637,0.263981,4,15,0,210.112,-168.728
0.861456,0.251939,4,15,0,194.173,-158.589
0.869233,0.24282,4,15,0,194.64,-162.774
0.847629,0.227885,4,15,0,205.297,-172.162
0.946977,0.241869,4,15,0,213.379,-171.875
0.746431,0.200399,4,15,0,212.088,-171.875
0.992506,0.224964,5,31,0,202.977,-171.418
0.991246,0.252039,4,15,0,199.587,-155.445
0.903409,0.253419,4,15,0,194.397,-170.741
0.849313,0.23847,4,15,0,211.381,-176.636
0.624341,0.170494,4,15,0,216.535,-179.213
0.953823,0.182427,5,31,0,213.815,-172.15
1,0.206434,5,31,0,197.153,-160.641
0.900546,0.206906,4,15,0,202.377,-164.559
0.686204,0.15989,6,63,0,196.403,-161.117
0.518194,0.100905,5,31,0,197.647,-174.113
0.0220578,0.0350151,5,31,0,207.282,-175.594
0.9976,0.0395814,7,127,0,200.68,-163.202
0.995503,0.0446101,7,127,0,210.067,-176.042
0.766431,0.0381569,6,63,0,208.162,-164.928
0.999962,0.0432191,7,127,0,193.22,-160.407
0.998092,0.0488212,7,127,0,198.012,-164.826
0.997006,0.0550537,7,127,0,195.854,-159.314
0.996316,0.0620038,6,63,0,192.938,-156.716
0.991804,0.0694273,6,63,0,194.449,-156.881
0.996101,0.0781064,6,63,0,187.909,-152.966
0.990843,0.0872871,6,63,0,178.617,-155.047
0.977551,0.0959841,5,31,0,191.99,-165.895
0.994054,0.107593,5,31,0,199.46,-168.371
0.927225,0.111406,5,31,0,208.26,-164.836
0.991042,0.124355,5,31,0,194.587,-163.141
0.985473,0.137849,5,31,0,195.287,-159.351
0.942259,0.145189,5,31,0,203.89,-165.228
0.998417,0.163304,5,31,0,202.702,-171.913
1,0.183946,5,31,0,200.063,-167.298
0.980431,0.202428,5,31,0,199.036,-159.998
0.946731,0.214104,4,15,0,196.897,-157.871
0.929837,0.221997,4,15,0,190.55,-156.456
0.189897,0.0973154,4,15,0,195.735,-157.707
0.981859,0.107315,5,31,0,183.636,-163.838
0.993742,0.119944,5,31,0,194.206,-161.694
0.967969,0.130071,5,31,0,207.637,-169.82
0.998903,0.146146,5,31,0,203.825,-164.503
0.98107,0.160801,5,31,0,199.127,-160.845
0.982976,0.177258,5,31,0,195.943,-165.904
0.964006,0.191122,5,31,0,202.724,-173.816
0.977975,0.209348,5,31,0,208.38,-170.7
0.986761,0.231564,5,31,0,207.192,-164.985
1,0.259962,4,15,0,195.575,-162.29
0.997394,0.290864,4,15,0,188.411,-161.601
0.941805,0.305336,4,15,0,193.194,-167.847
1,0.342433,4,15,0,206.145,-170.946
1,0.383895,4,15,0,203.617,-165.291
0.563056,0.262002,4,15,0,196.061,-163.361
0.562148,0.178846,4,15,0,206.271,-163.487
0.985304,0.19729,5,31,0,191.988,-164.423
0.984562,0.217386,4,15,0,190.521,-159.975
0.970716,0.235744,4,15,0,187.912,-162.979
0.928886,0.243828,4,15,0,188.206,-156.69
0.888036,0.240842,4,15,0,196.341,-167.505
0.669804,0.186212,4,15,0,198.513,-167.827
0.889425,0.184302,5,31,0,203.228,-170.929
0.989339,0.203997,5,31,0,203.928,-174.026
0.98952,0.22577,4,15,0,215.574,-177.485
0.962639,0.242408,4,15,0,217.334,-173.374
0.633367,0.180325,4,15,0,206.904,-166.345
0.938755,0.188562,5,31,0,201.314,-169.035
0.957138,0.201215,4,15,0,196.97,-174.251
0.836988,0.187899,4,15,0,203.083,-169.115
0.991963,0.208346,5,31,0,201.511,-166.779
0.720247,0.171031,4,15,0,202.495,-174.838
0.991446,0.189501,5,31,0,205.024,-160.21
0.98744,0.208976,5,31,0,187.909,-160.427
0.892687,0.207574,4,15,0,188.104,-161.521
0.902755,0.208479,4,15,0,198.346,-164.768
0.801018,0.187272,4,15,0,201.318,-166.376
0.923041,0.192341,4,15,0,200.86,-158.867
0.914118,0.195612,4,15,0,190.876,-163.118
0.937079,0.20398,4,15,0,192.03,-169.419
0.991343,0.225644,5,31,0,203.757,-168.263
0.929395,0.233257,4,15,0,198.308,-165.4
0.892941,0.231734,4,15,0,211.508,-182.07
0.99019,0.255862,4,15,0,219.563,-168
0.892531,0.254048,4,15,0,209.802,-171.907
0.75101,0.21642,4,15,0,201.979,-165.852
0.979659,0.236169,4,15,0,202.691,-172.319
0.961401,0.252627,4,15,0,217.403,-173.628
0.045703,0.100697,4,15,0,218.322,-177.599
0.994244,0.111705,5,31,0,212.738,-178.003
0.995956,0.124107,5,31,0,207.761,-162.156
0.930467,0.128489,5,31,0,198.67,-159.619
0.989718,0.141731,5,31,0,190.462,-165.354
0.999824,0.157993,5,31,0,191.238,-162.16
0.970274,0.170594,5,31,0,193.006,-160.938
0.99039,0.188154,5,31,0,196.841,-164.833
0.97212,0.203465,5,31,0,197.224,-164.163
0.923253,0.208827,4,15,0,202.815,-168.525
0.999174,0.232319,4,15,0,195.625,-159.635
0.942666,0.24334,4,15,0,190.357,-162.004
0.927321,0.25074,4,15,0,197.367,-170.604
0.999129,0.278737,4,15,0,202.017,-167.821
0.889878,0.275996,4,15,0,197.116,-168.091
0.996203,0.305736,4,15,0,198.456,-165.296
0.612986,0.226098,4,15,0,209.877,-171.821
1,0.251462,4,15,0,225.751,-182.419
1,0.279589,4,15,0,202.909,-175.281
0.985231,0.305991,4,15,0,202.984,-166.46
0.639723,0.233101,4,15,0,201.785,-173
